mid,code,libelle_officiel,chapitre,niveau,type_noeud,source,table_attache,texte,texte_divergent,patron,classe_proposee,destination_proposee,motif,peremption_suspecte,peremption_motif,version_regle
84,G82,Paraplégie et tétraplégie,VI,3,categorie,E,NOTE,Cette catégorie ne doit être utilisée comme cause principale de codage que lorsque les affections ci-dessous sont mentionnées sans autre précision ou sont définies comme anciennes ou de longue durée mais de cause non précisée. Cette catégorie peut être aussi utilisée en codage multiple pour identifier les types de paraplégie et tétraplégie résultant d'une cause quelle qu'elle soit.,false,"",convention_classement,non_rendue,convention de classement (source E) — bruit probable en fiche (leçon ANT-01),false,"",v1
85,G83,Autres syndromes paralytiques,VI,3,categorie,E,NOTE,Cette catégorie ne doit être utilisée comme cause principale de codage que lorsque les affections ci-dessous sont mentionnées sans autre précision ou sont définies comme anciennes ou de longue durée mais de cause non précisée. Cette catégorie peut être aussi utilisée en codage multiple pour identifier les états résultant d'une cause quelle qu'elle soit.,false,"",convention_classement,non_rendue,convention de classement (source E) — bruit probable en fiche (leçon ANT-01),false,"",v1
109,I69,Séquelles de maladies cérébrovasculaires,IX,3,categorie,E,NOTE,"Cette catégorie doit être utilisée pour les états classés en I60.-, I61.-, I62.-, I63.-, I64, I65.-, I66.-, I67.- en tant que cause de séquelles, elles-mêmes étant codées ailleurs. Les séquelles comprennent les maladies précisées comme telles ou comme conséquences tardives ou existantes un an ou plus après le début de la maladie.",false,"",convention_classement,non_rendue,convention de classement (source E) — bruit probable en fiche (leçon ANT-01),false,"",v1
120,J40,"Bronchite, non précisée aigüe ou chronique",X,3,categorie,E,NOTE,"La bronchite, non précisée comme aiguë ou chronique chez un sujet de moins de 15 ans, peut être présumée aiguë et doit être classée en J20.-.",false,"",convention_classement,non_rendue,convention de classement (source E) — bruit probable en fiche (leçon ANT-01),false,"",v1
162,M76,"Enthésopathies du membre inférieur, sauf le pied",XIII,4,categorie,E,NOTE,"Les termes bursite, capsulite et tendinite ne sont pas vraiment employés de façon spécifique; on a tendance à les utiliser indifféremment pour des affections diverses des insertions ligamentaires ou musculaires périphériques; la plupart de ces affections ont été groupées sous le terme générique d'enthésopathies.",false,"",convention_classement,non_rendue,convention de classement (source E) — bruit probable en fiche (leçon ANT-01),false,"",v1
233,M99,"Lésions biomécaniques, non classées ailleurs",XIII,3,categorie,E,NOTE,Cette rubrique ne doit pas être utilisée si la maladie peut être classée ailleurs.,false,"",convention_classement,non_rendue,convention de classement (source E) — bruit probable en fiche (leçon ANT-01),false,"",v1
202,O08,"Complications consécutives à un avortement, une grossesse extra-utérine et molaire",XV,3,categorie,E,NOTE,Cette rubrique est utilisée quand il convient de coder les causes de morbidité. Se référer aux règles et instructions du Volume 2 pour le codage de la morbidité.,false,"",convention_classement,non_rendue,convention de classement (source E) — bruit probable en fiche (leçon ANT-01),false,"",v1
212,O99,"Autres maladies de la mère classées ailleurs, mais compliquant la grossesse, l'accouchement et la puerpéralité",XV,3,categorie,E,NOTE,"Cette catégorie comprend des états compliquant la grossesse ou aggravés par elle, ou lorsqu'il s'agit de la raison principale de soins obstétricaux pour lesquels l'Index alphabétique n'indique pas une rubrique spécifique au chapitre XV.<P>Utiliser, au besoin, un code supplémentaire pour identifier une affection spécifique.",false,"",convention_classement,non_rendue,convention de classement (source E) — bruit probable en fiche (leçon ANT-01),false,"",v1
214,P07,"Anomalies liées à une brièveté de la gestation et un poids insuffisant à la naissance, non classées ailleurs",XVI,3,categorie,E,NOTE,"Quand le poids de naissance et l'âge gestationnel sont tous deux connus, la priorité doit alors être accordée au poids de naissance.",false,"",convention_classement,non_rendue,convention de classement (source E) — bruit probable en fiche (leçon ANT-01),false,"",v1
215,P08,Anomalies liées à une gestation prolongée et un poids élevé à la naissance,XVI,3,categorie,E,NOTE,"Quand le poids de naissance et l'âge gestationnel sont tous deux connus, la priorité doit alors être accordée au poids de naissance.",false,"",convention_classement,non_rendue,convention de classement (source E) — bruit probable en fiche (leçon ANT-01),false,"",v1
