code,chapter,filepath,libelle,has_perimetre,has_localisations,has_exclusions,has_consignes,has_formulations,type_mco,statut_mco,source_existence,nb_chars
F03+42,V,V/F03+42.md,"Démence, sans précision - ""avec d’autres symptômes, mixtes"" - ""sévère""",true,false,true,false,false,0,codable,OWL_ANS,949
F04,V,V/F04.md,"Syndrome amnésique organique, non induit par l'alcool et d'autres substances psychoactives",true,false,true,false,true,0,codable,OWL_ANS,1362
F05.0,V,V/F05.0.md,"Délirium non surajouté à une démence, ainsi décrit",true,false,true,false,true,0,codable,OWL_ANS,1387
F05.1,V,V/F05.1.md,Délirium surajouté à une démence,true,false,true,false,true,0,codable,OWL_ANS,1462
F05.8,V,V/F05.8.md,Autres formes de délirium,true,false,true,false,true,0,codable,OWL_ANS,1545
F05.9,V,V/F05.9.md,"Délirium, sans précision",true,false,true,false,true,0,codable,OWL_ANS,1325
F06.0,V,V/F06.0.md,État hallucinatoire organique,true,false,true,false,true,0,codable,OWL_ANS,1042
F06.1,V,V/F06.1.md,Catatonie organique,true,false,true,false,true,0,codable,OWL_ANS,1030
F06.2,V,V/F06.2.md,Trouble délirant organique [d'allure schizophrénique],true,false,true,false,true,0,codable,OWL_ANS,1342
F06.3,V,V/F06.3.md,Troubles organiques de l'humeur [affectifs],true,false,true,false,false,0,codable,OWL_ANS,939
F06.30,V,V/F06.30.md,Trouble maniaque organique,true,false,true,false,false,0,codable,OWL_ANS,885
F06.31,V,V/F06.31.md,Trouble bipolaire organique,true,false,true,false,false,0,codable,OWL_ANS,886
F06.32,V,V/F06.32.md,Trouble dépressif organique,true,false,true,false,false,0,codable,OWL_ANS,886
F06.33,V,V/F06.33.md,Trouble affectif mixte organique,true,false,true,false,false,0,codable,OWL_ANS,891
F06.4,V,V/F06.4.md,Trouble anxieux organique,true,false,true,false,false,0,codable,OWL_ANS,915
F06.5,V,V/F06.5.md,Trouble dissociatif organique,true,false,true,false,false,0,codable,OWL_ANS,940
F06.6,V,V/F06.6.md,Labilité [asthénie] émotionnelle organique,true,false,true,false,true,0,codable,OWL_ANS,1045
F06.7,V,V/F06.7.md,Trouble cognitif léger,true,false,true,false,true,0,codable,OWL_ANS,900
F06.70,V,V/F06.70.md,Trouble cognitif léger non associé à un trouble physique,true,false,true,false,false,0,codable,OWL_ANS,851
F06.71,V,V/F06.71.md,Trouble cognitif léger associé à un trouble physique,true,false,true,false,false,0,codable,OWL_ANS,847
F06.8,V,V/F06.8.md,Autres troubles mentaux précisés dus à une lésion cérébrale et un dysfonctionnement cérébral et à une affection physique,true,false,true,false,true,0,codable,OWL_ANS,1487
F06.9,V,V/F06.9.md,"Trouble mental sans précision, dû à une lésion cérébrale et un dysfonctionnement cérébral, et à une affection physique",true,false,true,false,true,0,codable,OWL_ANS,1098
F07.0,V,V/F07.0.md,Trouble organique de la personnalité,true,false,true,false,true,0,codable,OWL_ANS,1485
F07.1,V,V/F07.1.md,Syndrome postencéphalitique,true,false,true,false,false,0,codable,OWL_ANS,704
F07.2,V,V/F07.2.md,Syndrome postcommotionnel,true,false,true,false,true,0,codable,OWL_ANS,1303
F07.8,V,V/F07.8.md,"Autres troubles organiques de la personnalité et du comportement dus à une affection, une lésion et un dysfonctionnement cérébraux",true,false,true,false,true,0,codable,OWL_ANS,1059
F07.9,V,V/F07.9.md,"Trouble organique de la personnalité et du comportement dû à une affection, une lésion et un dysfonctionnement cérébraux, sans précision",true,false,true,false,true,0,codable,OWL_ANS,904
F09,V,V/F09.md,"Trouble mental organique ou symptomatique, sans précision",true,false,true,false,true,0,codable,OWL_ANS,913
F10.0,V,V/F10.0.md,"Troubles mentaux et du comportement liés à l'utilisation d'alcool - "" Intoxication aigüe """,true,false,true,false,true,0,codable,OWL_ANS,1345
F10.00,V,V/F10.00.md,"Troubles mentaux et du comportement liés à l'utilisation d'alcool - ""Intoxication aigüe"" - ""sans complication""",true,false,true,true,false,0,codable,OWL_ANS,1483
F10.01,V,V/F10.01.md,"Troubles mentaux et du comportement liés à l'utilisation d'alcool - ""Intoxication aigüe"" - ""avec traumatismes ou autres blessures physiques""",true,false,true,true,false,0,codable,OWL_ANS,1513
F10.02,V,V/F10.02.md,"Troubles mentaux et du comportement liés à l'utilisation d'alcool - ""Intoxication aigüe"" - ""avec d’autres complications médicales""",true,false,true,true,false,0,codable,OWL_ANS,1503
F10.03,V,V/F10.03.md,"Troubles mentaux et du comportement liés à l'utilisation d'alcool - ""Intoxication aigüe"" - ""avec délirium""",true,false,true,true,false,0,codable,OWL_ANS,1479
F10.04,V,V/F10.04.md,"Troubles mentaux et du comportement liés à l'utilisation d'alcool - ""Intoxication aigüe"" - ""avec distorsion des perceptions""",true,false,true,true,false,0,codable,OWL_ANS,1497
F10.05,V,V/F10.05.md,"Troubles mentaux et du comportement liés à l'utilisation d'alcool - ""Intoxication aigüe"" - ""avec coma""",true,false,true,true,false,0,codable,OWL_ANS,1475
F10.06,V,V/F10.06.md,"Troubles mentaux et du comportement liés à l'utilisation d'alcool - ""Intoxication aigüe"" - ""avec convulsions""",true,false,true,true,false,0,codable,OWL_ANS,1482
F10.07,V,V/F10.07.md,"Troubles mentaux et du comportement liés à l'utilisation d'alcool - ""Intoxication aigüe"" - ""intoxication pathologique """,true,false,true,true,false,0,codable,OWL_ANS,1492
F10.1,V,V/F10.1.md,"Troubles mentaux et du comportement liés à l'utilisation d'alcool - "" Utilisation nocive pour la santé """,true,false,true,true,true,0,codable,OWL_ANS,1514
F10.2,V,V/F10.2.md,"Troubles mentaux et du comportement liés à l'utilisation d'alcool - "" Syndrome de dépendance """,true,false,true,false,true,0,codable,OWL_ANS,1235
F10.20,V,V/F10.20.md,"Troubles mentaux et du comportement liés à l'utilisation d'alcool - ""Syndrome de dépendance"" - ""actuellement abstinent""",true,false,true,false,false,0,codable,OWL_ANS,854
F10.200,V,V/F10.200.md,"Troubles mentaux et du comportement liés à l'utilisation d'alcool - ""Syndrome de dépendance"" - ""actuellement abstinent en rémission récente""",true,false,true,true,false,0,codable,OWL_ANS,1396
F10.201,V,V/F10.201.md,"Troubles mentaux et du comportement liés à l'utilisation d'alcool - ""Syndrome de dépendance"" - ""actuellement abstinent en rémission partielle""",true,false,true,true,false,0,codable,OWL_ANS,1398
F10.202,V,V/F10.202.md,"Troubles mentaux et du comportement liés à l'utilisation d'alcool - ""Syndrome de dépendance"" - ""actuellement abstinent en rémission complète""",true,false,true,true,false,0,codable,OWL_ANS,1397
F10.21,V,V/F10.21.md,"Troubles mentaux et du comportement liés à l'utilisation d'alcool - ""Syndrome de dépendance"" - ""actuellement abstinent mais dans un environnement protégé""",true,false,true,true,false,0,codable,OWL_ANS,1408
F10.22,V,V/F10.22.md,"Troubles mentaux et du comportement liés à l'utilisation d'alcool - ""Syndrome de dépendance"" - ""suit actuellement un régime de maintenance ou de substitution, sous surveillance médicale""",true,false,true,true,false,0,codable,OWL_ANS,1440
F10.23,V,V/F10.23.md,"Troubles mentaux et du comportement liés à l'utilisation d'alcool - ""Syndrome de dépendance"" - ""actuellement abstinent mais prend des médicaments aversifs ou bloquants""",true,false,true,true,false,0,codable,OWL_ANS,1422
