code_maitre,cle,classe,sous_classe,code_atih,libelle
F00.221,F00221,connu de l'ATIH,type MCO 0,F00221,"Démence de la maladie d'Alzheimer, forme atypique ou mixte (G30.8)   - ""avec d’autres symptômes, essentiellement hallucinatoires"" - ""moyenne"""
F00.222,F00222,connu de l'ATIH,type MCO 0,F00222,"Démence de la maladie d'Alzheimer, forme atypique ou mixte (G30.8)   - ""avec d’autres symptômes, essentiellement hallucinatoires"" - ""sévère"""
F00.230,F00230,connu de l'ATIH,type MCO 0,F00230,"Démence de la maladie d'Alzheimer, forme atypique ou mixte (G30.8)   - ""avec d’autres symptômes, essentiellement dépressifs"" - ""légère"""
F00.231,F00231,connu de l'ATIH,type MCO 0,F00231,"Démence de la maladie d'Alzheimer, forme atypique ou mixte (G30.8)   - ""avec d’autres symptômes, essentiellement dépressifs"" - ""moyenne"""
F00.232,F00232,connu de l'ATIH,type MCO 0,F00232,"Démence de la maladie d'Alzheimer, forme atypique ou mixte (G30.8)   - ""avec d’autres symptômes, essentiellement dépressifs"" - ""sévère"""
F00.240,F00240,connu de l'ATIH,type MCO 0,F00240,"Démence de la maladie d'Alzheimer, forme atypique ou mixte (G30.8)   - ""avec d’autres symptômes, mixtes"" - ""légère"""
F00.241,F00241,connu de l'ATIH,type MCO 0,F00241,"Démence de la maladie d'Alzheimer, forme atypique ou mixte (G30.8)   - ""avec d’autres symptômes, mixtes"" - ""moyenne"""
F00.242,F00242,connu de l'ATIH,type MCO 0,F00242,"Démence de la maladie d'Alzheimer, forme atypique ou mixte (G30.8)   - ""avec d’autres symptômes, mixtes"" - ""sévère"""
F00.900,F00900,connu de l'ATIH,type MCO 0,F00900,"Démence de la maladie d'Alzheimer, sans précision (G30.9)   - ""sans symptôme supplémentaire"" - ""légère"""
F00.901,F00901,connu de l'ATIH,type MCO 0,F00901,"Démence de la maladie d'Alzheimer, sans précision (G30.9)   - ""sans symptôme supplémentaire"" - ""moyenne"""
F00.902,F00902,connu de l'ATIH,type MCO 0,F00902,"Démence de la maladie d'Alzheimer, sans précision (G30.9)   - ""sans symptôme supplémentaire"" - ""sévère"""
F00.910,F00910,connu de l'ATIH,type MCO 0,F00910,"Démence de la maladie d'Alzheimer, sans précision (G30.9)   - ""avec d’autres symptômes, essentiellement délirants"" - ""légère"""
F00.911,F00911,connu de l'ATIH,type MCO 0,F00911,"Démence de la maladie d'Alzheimer, sans précision (G30.9)   - ""avec d’autres symptômes, essentiellement délirants"" - ""moyenne"""
F00.912,F00912,connu de l'ATIH,type MCO 0,F00912,"Démence de la maladie d'Alzheimer, sans précision (G30.9)   - ""avec d’autres symptômes, essentiellement délirants"" - ""sévère"""
F00.920,F00920,connu de l'ATIH,type MCO 0,F00920,"Démence de la maladie d'Alzheimer, sans précision (G30.9)   - ""avec d’autres symptômes, essentiellement hallucinatoires"" - ""légère"""
F00.921,F00921,connu de l'ATIH,type MCO 0,F00921,"Démence de la maladie d'Alzheimer, sans précision (G30.9)   - ""avec d’autres symptômes, essentiellement hallucinatoires"" - ""moyenne"""
F00.922,F00922,connu de l'ATIH,type MCO 0,F00922,"Démence de la maladie d'Alzheimer, sans précision (G30.9)   - ""avec d’autres symptômes, essentiellement hallucinatoires"" - ""sévère"""
F00.930,F00930,connu de l'ATIH,type MCO 0,F00930,"Démence de la maladie d'Alzheimer, sans précision (G30.9)   - ""avec d’autres symptômes, essentiellement dépressifs"" - ""légère"""
F00.931,F00931,connu de l'ATIH,type MCO 0,F00931,"Démence de la maladie d'Alzheimer, sans précision (G30.9)   - ""avec d’autres symptômes, essentiellement dépressifs"" - ""moyenne"""
F00.932,F00932,connu de l'ATIH,type MCO 0,F00932,"Démence de la maladie d'Alzheimer, sans précision (G30.9)   - ""avec d’autres symptômes, essentiellement dépressifs"" - ""sévère"""
F00.940,F00940,connu de l'ATIH,type MCO 0,F00940,"Démence de la maladie d'Alzheimer, sans précision (G30.9)   - ""avec d’autres symptômes, mixtes"" - ""légère"""
F00.941,F00941,connu de l'ATIH,type MCO 0,F00941,"Démence de la maladie d'Alzheimer, sans précision (G30.9)   - ""avec d’autres symptômes, mixtes"" - ""moyenne"""
F00.942,F00942,connu de l'ATIH,type MCO 0,F00942,"Démence de la maladie d'Alzheimer, sans précision (G30.9)   - ""avec d’autres symptômes, mixtes"" - ""sévère"""
F01.000,F01000,connu de l'ATIH,type MCO 0,F01000,"Démence vasculaire à début aigu - ""sans symptôme supplémentaire"" - ""légère"""
F01.001,F01001,connu de l'ATIH,type MCO 0,F01001,"Démence vasculaire à début aigu - ""sans symptôme supplémentaire"" - ""moyenne"""
F01.002,F01002,connu de l'ATIH,type MCO 0,F01002,"Démence vasculaire à début aigu - ""sans symptôme supplémentaire"" - ""sévère"""
F01.010,F01010,connu de l'ATIH,type MCO 0,F01010,"Démence vasculaire à début aigu - ""avec d’autres symptômes, essentiellement délirants"" - ""légère"""
F01.011,F01011,connu de l'ATIH,type MCO 0,F01011,"Démence vasculaire à début aigu - ""avec d’autres symptômes, essentiellement délirants"" - ""moyenne"""
F01.012,F01012,connu de l'ATIH,type MCO 0,F01012,"Démence vasculaire à début aigu - ""avec d’autres symptômes, essentiellement délirants"" - ""sévère"""
F01.020,F01020,connu de l'ATIH,type MCO 0,F01020,"Démence vasculaire à début aigu - ""avec d’autres symptômes, essentiellement hallucinatoires"" - ""légère"""
F01.021,F01021,connu de l'ATIH,type MCO 0,F01021,"Démence vasculaire à début aigu - ""avec d’autres symptômes, essentiellement hallucinatoires"" - ""moyenne"""
F01.022,F01022,connu de l'ATIH,type MCO 0,F01022,"Démence vasculaire à début aigu - ""avec d’autres symptômes, essentiellement hallucinatoires"" - ""sévère"""
F01.030,F01030,connu de l'ATIH,type MCO 0,F01030,"Démence vasculaire à début aigu - ""avec d’autres symptômes, essentiellement dépressifs"" - ""légère"""
F01.031,F01031,connu de l'ATIH,type MCO 0,F01031,"Démence vasculaire à début aigu - ""avec d’autres symptômes, essentiellement dépressifs"" - ""moyenne"""
F01.032,F01032,connu de l'ATIH,type MCO 0,F01032,"Démence vasculaire à début aigu - ""avec d’autres symptômes, essentiellement dépressifs"" - ""sévère"""
F01.040,F01040,connu de l'ATIH,type MCO 0,F01040,"Démence vasculaire à début aigu - ""avec d’autres symptômes, mixtes"" - ""légère"""
F01.041,F01041,connu de l'ATIH,type MCO 0,F01041,"Démence vasculaire à début aigu - ""avec d’autres symptômes, mixtes"" - ""moyenne"""
F01.042,F01042,connu de l'ATIH,type MCO 0,F01042,"Démence vasculaire à début aigu - ""avec d’autres symptômes, mixtes"" - ""sévère"""
F01.100,F01100,connu de l'ATIH,type MCO 0,F01100,"Démence vasculaire par infarctus multiples - ""sans symptôme supplémentaire"" - ""légère"""
F01.101,F01101,connu de l'ATIH,type MCO 0,F01101,"Démence vasculaire par infarctus multiples - ""sans symptôme supplémentaire"" - ""moyenne"""
F01.102,F01102,connu de l'ATIH,type MCO 0,F01102,"Démence vasculaire par infarctus multiples - ""sans symptôme supplémentaire"" - ""sévère"""
F01.110,F01110,connu de l'ATIH,type MCO 0,F01110,"Démence vasculaire par infarctus multiples - ""avec d’autres symptômes, essentiellement délirants"" - ""légère"""
F01.111,F01111,connu de l'ATIH,type MCO 0,F01111,"Démence vasculaire par infarctus multiples - ""avec d’autres symptômes, essentiellement délirants"" - ""moyenne"""
F01.112,F01112,connu de l'ATIH,type MCO 0,F01112,"Démence vasculaire par infarctus multiples - ""avec d’autres symptômes, essentiellement délirants"" - ""sévère"""
F01.120,F01120,connu de l'ATIH,type MCO 0,F01120,"Démence vasculaire par infarctus multiples - ""avec d’autres symptômes, essentiellement hallucinatoires"" - ""légère"""
F01.121,F01121,connu de l'ATIH,type MCO 0,F01121,"Démence vasculaire par infarctus multiples - ""avec d’autres symptômes, essentiellement hallucinatoires"" - ""moyenne"""
F01.122,F01122,connu de l'ATIH,type MCO 0,F01122,"Démence vasculaire par infarctus multiples - ""avec d’autres symptômes, essentiellement hallucinatoires"" - ""sévère"""
F01.130,F01130,connu de l'ATIH,type MCO 0,F01130,"Démence vasculaire par infarctus multiples - ""avec d’autres symptômes, essentiellement dépressifs"" - ""légère"""
F01.131,F01131,connu de l'ATIH,type MCO 0,F01131,"Démence vasculaire par infarctus multiples - ""avec d’autres symptômes, essentiellement dépressifs"" - ""moyenne"""
F01.132,F01132,connu de l'ATIH,type MCO 0,F01132,"Démence vasculaire par infarctus multiples - ""avec d’autres symptômes, essentiellement dépressifs"" - ""sévère"""
F01.140,F01140,connu de l'ATIH,type MCO 0,F01140,"Démence vasculaire par infarctus multiples - ""avec d’autres symptômes, mixtes"" - ""légère"""
F01.141,F01141,connu de l'ATIH,type MCO 0,F01141,"Démence vasculaire par infarctus multiples - ""avec d’autres symptômes, mixtes"" - ""moyenne"""
F01.142,F01142,connu de l'ATIH,type MCO 0,F01142,"Démence vasculaire par infarctus multiples - ""avec d’autres symptômes, mixtes"" - ""sévère"""
F01.200,F01200,connu de l'ATIH,type MCO 0,F01200,"Démence vasculaire souscorticale - ""sans symptôme supplémentaire"" - ""légère"""
F01.201,F01201,connu de l'ATIH,type MCO 0,F01201,"Démence vasculaire souscorticale - ""sans symptôme supplémentaire"" - ""moyenne"""
F01.202,F01202,connu de l'ATIH,type MCO 0,F01202,"Démence vasculaire souscorticale - ""sans symptôme supplémentaire"" - ""sévère"""
F01.210,F01210,connu de l'ATIH,type MCO 0,F01210,"Démence vasculaire souscorticale - ""avec d’autres symptômes, essentiellement délirants"" - ""légère"""
F01.211,F01211,connu de l'ATIH,type MCO 0,F01211,"Démence vasculaire souscorticale - ""avec d’autres symptômes, essentiellement délirants"" - ""moyenne"""
