code_atih,type_mco,libelle_long,classe,sous_classe,code_maitre,ancetre_maitre
A391,0,Syndrome de Waterhouse-Friderichsen (E35.1*),fiche (écriture directe),"",A39.1,""
A392,0,Méningococcémie aiguë,fiche (écriture directe),"",A39.2,""
A393,0,Méningococcémie chronique,fiche (écriture directe),"",A39.3,""
A394,0,"Méningococcémie, sans précision",fiche (écriture directe),"",A39.4,""
A395,0,Cardite à méningocoques,fiche (écriture directe),"",A39.5,""
A398,0,Autres infections à méningocoques,fiche (écriture directe),"",A39.8,""
A399,0,"Infection méningococcique, sans précision",fiche (écriture directe),"",A39.9,""
A400,0,"Sepsis à streptocoques, groupe A",fiche (écriture directe),"",A40.0,""
A401,0,"Sepsis à streptocoques, groupe B",fiche (écriture directe),"",A40.1,""
A402,0,"Sepsis à streptocoques, groupe D et entérocoques",fiche (écriture directe),"",A40.2,""
A403,0,Sepsis à Streptococcus pneumoniae,fiche (écriture directe),"",A40.3,""
A408,0,Autres sepsis à streptocoques,fiche (écriture directe),"",A40.8,""
A409,0,"Sepsis à streptocoques, sans précision",fiche (écriture directe),"",A40.9,""
A410,0,Sepsis à staphylocoques dorés,fiche (écriture directe),"",A41.0,""
A411,0,Sepsis à d'autres staphylocoques précisés,fiche (écriture directe),"",A41.1,""
A412,0,Sepsis à staphylocoques non précisés,fiche (écriture directe),"",A41.2,""
A413,0,Sepsis à Haemophilus influenzae,fiche (écriture directe),"",A41.3,""
A414,0,Sepsis à microorganismes anaérobies,fiche (écriture directe),"",A41.4,""
A415,0,Sepsis à d'autres microorganismes Gram négatif,fiche (écriture directe),"",A41.5,""
A418,0,Autres sepsis précisés,fiche (écriture directe),"",A41.8,""
A419,0,"Sepsis, sans précision",fiche (écriture directe),"",A41.9,""
A420,0,Actinomycose pulmonaire,fiche (écriture directe),"",A42.0,""
A421,0,Actinomycose abdominale,fiche (écriture directe),"",A42.1,""
A422,0,Actinomycose cervico-faciale,fiche (écriture directe),"",A42.2,""
A427,0,Sepsis actinomycosique,fiche (écriture directe),"",A42.7,""
A428,0,Autres formes d'actinomycose,fiche (écriture directe),"",A42.8,""
A429,0,"Actinomycose, sans précision",fiche (écriture directe),"",A42.9,""
A430,0,Nocardiose pulmonaire,fiche (écriture directe),"",A43.0,""
A431,0,Nocardiose cutanée,fiche (écriture directe),"",A43.1,""
A438,0,Autres formes de nocardiose,fiche (écriture directe),"",A43.8,""
A439,0,"Nocardiose, sans précision",fiche (écriture directe),"",A43.9,""
A440,0,Bartonellose généralisée,fiche (écriture directe),"",A44.0,""
A441,0,Bartonellose cutanée et cutanéo-muqueuse,fiche (écriture directe),"",A44.1,""
A448,0,Autres formes de bartonellose,fiche (écriture directe),"",A44.8,""
A449,0,"Bartonellose, sans précision",fiche (écriture directe),"",A44.9,""
A46,0,Érysipèle,fiche (écriture directe),"",A46,""
A480,0,Gangrène gazeuse,fiche (écriture directe),"",A48.0,""
A481,0,Maladie des légionnaires (pulmonaire),fiche (écriture directe),"",A48.1,""
A482,0,"Maladie des légionnaires, sans signes pulmonaires [fièvre de Pontiac]",fiche (écriture directe),"",A48.2,""
A483,0,Syndrome du choc toxique,fiche (écriture directe),"",A48.3,""
A484,0,Fièvre purpurique du Brésil,fiche (écriture directe),"",A48.4,""
A488,0,Autres maladies bactériennes précisées,fiche (écriture directe),"",A48.8,""
A490,0,"Infection à staphylocoques, sans précision",fiche (écriture directe),"",A49.0,""
A491,0,"Infection à streptocoques et entérocoques, siège non précisé",fiche (écriture directe),"",A49.1,""
A492,0,"Infection à Haemophilus influenzae, sans précision",fiche (écriture directe),"",A49.2,""
A493,0,"Infection à Mycoplasma, sans précision",fiche (écriture directe),"",A49.3,""
A498,0,"Autres infections bactériennes, siège non précisé",fiche (écriture directe),"",A49.8,""
A499,0,"Infection bactérienne, sans précision",fiche (écriture directe),"",A49.9,""
A500,0,"Syphilis congénitale précoce, symptomatique",fiche (écriture directe),"",A50.0,""
A501,0,"Syphilis congénitale précoce, latente",fiche (écriture directe),"",A50.1,""
A502,0,"Syphilis congénitale précoce, sans précision",fiche (écriture directe),"",A50.2,""
A503,0,Oculopathie syphilitique congénitale tardive,fiche (écriture directe),"",A50.3,""
A504,0,Syphilis congénitale nerveuse tardive [neuro-syphilis juvénile],fiche (écriture directe),"",A50.4,""
A505,0,"Autres formes tardives de syphilis congénitale, symptomatique",fiche (écriture directe),"",A50.5,""
A506,0,"Syphilis congénitale tardive, latente",fiche (écriture directe),"",A50.6,""
A507,0,"Syphilis congénitale tardive, sans précision",fiche (écriture directe),"",A50.7,""
A509,0,"Syphilis congénitale, sans précision",fiche (écriture directe),"",A50.9,""
A510,0,Syphilis génitale primaire,fiche (écriture directe),"",A51.0,""
A511,0,Syphilis anale primaire,fiche (écriture directe),"",A51.1,""
A512,0,Syphilis primaire d'autres localisations,fiche (écriture directe),"",A51.2,""
A513,0,Syphilis secondaire de la peau et des muqueuses,fiche (écriture directe),"",A51.3,""
A514,0,Autres formes de syphilis secondaire,fiche (écriture directe),"",A51.4,""
A515,0,"Syphilis précoce, latente",fiche (écriture directe),"",A51.5,""
A519,0,"Syphilis précoce, sans précision",fiche (écriture directe),"",A51.9,""
A520,0,Syphilis cardio-vasculaire,fiche (écriture directe),"",A52.0,""
A521,0,Syphilis nerveuse symptomatique,fiche (écriture directe),"",A52.1,""
A522,0,Syphilis nerveuse asymptomatique,fiche (écriture directe),"",A52.2,""
