code,chapter,fichier,libelle,n_enfants,has_perimetre,has_exclusions,has_formulations,type_mco,statut_mco,nb_chars,format_version
B90,I,I/B90.md,Séquelles de tuberculose,5,true,true,true,3,pere_interdit,2322,1
B91,I,I/B91.md,Séquelles de poliomyélite,0,true,true,true,4,interdit_dp,1932,1
B92,I,I/B92.md,Séquelles de lèpre,0,true,true,true,4,interdit_dp,1284,1
B94,I,I/B94.md,"Séquelles de maladies infectieuses et parasitaires, autres et non précisées",5,true,true,true,3,pere_interdit,2360,1
B95,I,I/B95.md,"Streptocoques et staphylocoques, cause de maladies classées dans d'autres chapitres",9,true,true,true,3,pere_interdit,3600,1
B96,I,I/B96.md,"Autres agents bactériens précisés, cause de maladies classées dans d'autres chapitres",9,true,true,true,3,pere_interdit,2893,1
B97,I,I/B97.md,"Virus, cause de maladies classées dans d'autres chapitres",9,true,true,true,3,pere_interdit,2834,1
B98,I,I/B98.md,"Autres agents infectieux précisés, cause de maladies classées dans d'autres chapitres",2,true,true,true,3,pere_interdit,1486,1
B99,I,I/B99.md,"Maladies infectieuses, autres et non précisées",0,true,true,false,3,pere_interdit,1131,1
C00,II,II/C00.md,Tumeur maligne de la lèvre,9,true,true,true,3,pere_interdit,3427,1
C01,II,II/C01.md,Tumeur maligne de la base de la langue,0,true,false,true,0,codable,1557,1
C02,II,II/C02.md,"Tumeur maligne de la langue, parties autres et non précisées",7,true,true,true,3,pere_interdit,2460,1
C03,II,II/C03.md,Tumeur maligne de la gencive,3,true,true,true,3,pere_interdit,1745,1
C04,II,II/C04.md,Tumeur maligne du plancher de la bouche,4,true,false,true,3,pere_interdit,1783,1
C05,II,II/C05.md,Tumeur maligne du palais,5,true,true,true,3,pere_interdit,1718,1
C06,II,II/C06.md,"Tumeur maligne de la bouche, parties autres et non précisées",5,true,false,true,3,pere_interdit,2205,1
C07,II,II/C07.md,Tumeur maligne de la glande parotide,0,false,false,true,0,codable,1229,1
C08,II,II/C08.md,"Tumeur maligne des glandes salivaires principales, autres et non précisées",4,true,true,true,3,pere_interdit,2420,1
C09,II,II/C09.md,Tumeur maligne de l'amygdale,4,true,true,true,3,pere_interdit,1898,1
C10,II,II/C10.md,Tumeur maligne de l'oropharynx,7,true,true,true,3,pere_interdit,2297,1
C11,II,II/C11.md,Tumeur maligne du rhinopharynx,6,true,false,true,3,pere_interdit,2362,1
C12,II,II/C12.md,Tumeur maligne du sinus piriforme,0,true,false,true,0,codable,1294,1
C13,II,II/C13.md,Tumeur maligne de l'hypopharynx,5,true,true,true,3,pere_interdit,2072,1
C14,II,II/C14.md,"Tumeur maligne de la lèvre, de la cavité buccale et du pharynx, de sièges autres et mal définis",3,true,true,true,3,pere_interdit,1949,1
C15,II,II/C15.md,Tumeur maligne de l'oesophage,8,false,false,true,3,pere_interdit,1750,1
C16,II,II/C16.md,Tumeur maligne de l'estomac,9,true,false,true,3,pere_interdit,2554,1
C17,II,II/C17.md,Tumeur maligne de l'intestin grêle,6,false,true,true,3,pere_interdit,1535,1
C18,II,II/C18.md,Tumeur maligne du côlon,10,true,true,true,3,pere_interdit,2053,1
C19,II,II/C19.md,Tumeur maligne de la jonction rectosigmoïdienne,0,true,false,true,0,codable,1401,1
C20,II,II/C20.md,Tumeur maligne du rectum,0,true,false,true,0,codable,1271,1
C21,II,II/C21.md,Tumeur maligne de l'anus et du canal anal,4,true,true,true,3,pere_interdit,2149,1
C22,II,II/C22.md,Tumeur maligne du foie et des voies biliaires intrahépatiques,7,true,true,true,3,pere_interdit,2410,1
C23,II,II/C23.md,Tumeur maligne de la vésicule biliaire,0,false,false,true,0,codable,1258,1
C24,II,II/C24.md,"Tumeurs malignes des voies biliaires, autres et non précisées",4,true,true,true,3,pere_interdit,2138,1
C25,II,II/C25.md,Tumeur maligne du pancréas,8,true,false,true,3,pere_interdit,1918,1
C26,II,II/C26.md,"Tumeur maligne des organes digestifs, de sièges autres et mal définis",4,true,true,true,3,pere_interdit,2339,1
C30,II,II/C30.md,Tumeur maligne des fosses nasales et de l'oreille moyenne,2,true,true,true,3,pere_interdit,2468,1
C31,II,II/C31.md,Tumeur maligne des sinus de la face,6,true,true,true,3,pere_interdit,1937,1
C32,II,II/C32.md,Tumeur maligne du larynx,6,true,true,true,3,pere_interdit,2589,1
C33,II,II/C33.md,Tumeur maligne de la trachée,0,true,true,true,0,codable,1379,1
C34,II,II/C34.md,Tumeur maligne des bronches et du poumon,6,true,true,true,3,pere_interdit,2129,1
C37,II,II/C37.md,Tumeur maligne du thymus,0,true,true,true,0,codable,1422,1
C38,II,II/C38.md,"Tumeur maligne du coeur, du médiastin et de la plèvre",6,true,true,true,3,pere_interdit,1920,1
C39,II,II/C39.md,"Tumeur maligne de l'appareil respiratoire et des organes intrathoraciques, de sièges autres et mal définis",3,true,true,true,3,pere_interdit,2339,1
C40,II,II/C40.md,Tumeur maligne des os et du cartilage articulaire des membres,6,false,true,true,3,pere_interdit,1808,1
C41,II,II/C41.md,"Tumeur maligne des os et du cartilage articulaire, de sièges autres et non précisés",7,true,true,true,3,pere_interdit,2871,1
C43,II,II/C43.md,Mélanome malin de la peau,10,true,true,true,3,pere_interdit,2478,1
C44,II,II/C44.md,Autres tumeurs malignes de la peau,10,true,true,true,3,pere_interdit,3599,1
C45,II,II/C45.md,Mésothéliome,5,true,true,true,3,pere_interdit,2044,1
C46,II,II/C46.md,Sarcome de Kaposi,7,true,false,true,3,pere_interdit,1627,1
C47,II,II/C47.md,Tumeur maligne des nerfs périphériques et du système nerveux autonome,9,true,true,true,3,pere_interdit,2299,1
C48,II,II/C48.md,Tumeur maligne du rétropéritoine et du péritoine,4,true,true,true,3,pere_interdit,1906,1
C49,II,II/C49.md,Tumeur maligne du tissu conjonctif et des autres tissus mous,9,true,true,true,3,pere_interdit,3977,1
C50,II,II/C50.md,Tumeur maligne du sein,9,true,true,true,3,pere_interdit,2224,1
C51,II,II/C51.md,Tumeur maligne de la vulve,5,true,false,true,3,pere_interdit,1678,1
C52,II,II/C52.md,Tumeur maligne du vagin,0,true,false,true,0,codable,1258,1
C53,II,II/C53.md,Tumeur maligne du col de l'utérus,4,true,false,true,3,pere_interdit,1524,1
C54,II,II/C54.md,Tumeur maligne du corps de l'utérus,6,true,false,true,3,pere_interdit,1764,1
C55,II,II/C55.md,"Tumeur maligne de l'utérus, partie non précisée",0,true,false,true,0,codable,1249,1
C56,II,II/C56.md,Tumeur maligne de l'ovaire,0,true,false,true,0,codable,1322,1
C57,II,II/C57.md,"Tumeur maligne des organes génitaux de la femme, autres et non précisés",8,true,false,true,3,pere_interdit,2278,1
C58,II,II/C58.md,Tumeur maligne du placenta,0,true,true,true,0,codable,1003,1
C60,II,II/C60.md,Tumeur maligne de la verge,5,true,false,true,3,pere_interdit,1576,1
C61,II,II/C61.md,Tumeur maligne de la prostate,0,true,false,true,0,codable,1390,1
C62,II,II/C62.md,Tumeur maligne du testicule,3,true,false,true,3,pere_interdit,1819,1
