code,abbrev,label,type
W16.3,W163,plongée ou saut dans l'eau provoquant une lésion traumatique autre que noyade ou submersion | lieu de sport et d'athlétisme,category
W16.4,W164,plongée ou saut dans l'eau provoquant une lésion traumatique autre que noyade ou submersion | rue ou route,category
W16.5,W165,plongée ou saut dans l'eau provoquant une lésion traumatique autre que noyade ou submersion | zone de commerce et de service,category
W16.6,W166,plongée ou saut dans l'eau provoquant une lésion traumatique autre que noyade ou submersion | local industriel et chantier de construction,category
W16.7,W167,plongée ou saut dans l'eau provoquant une lésion traumatique autre que noyade ou submersion | exploitation agricole,category
W16.8,W168,plongée ou saut dans l'eau provoquant une lésion traumatique autre que noyade ou submersion | autres lieux précisés,category
W16.9,W169,"plongée ou saut dans l'eau provoquant une lésion traumatique autre que noyade ou submersion | lieu, sans précision",category
W17.0,W170,autre chute d'un niveau à un autre | domicile,category
W17.1,W171,autre chute d'un niveau à un autre | établissement collectif,category
W17.2,W172,"autre chute d'un niveau à un autre | école, autre institution et lieu d'administration publique",category
W17.3,W173,autre chute d'un niveau à un autre | lieu de sport et d'athlétisme,category
W17.4,W174,autre chute d'un niveau à un autre | rue ou route,category
W17.5,W175,autre chute d'un niveau à un autre | zone de commerce et de service,category
W17.6,W176,autre chute d'un niveau à un autre | local industriel et chantier de construction,category
W17.7,W177,autre chute d'un niveau à un autre | exploitation agricole,category
W17.8,W178,autre chute d'un niveau à un autre | autres lieux précisés,category
W17.9,W179,"autre chute d'un niveau à un autre | lieu, sans précision",category
W18.0,W180,autre chute de plain-pied | domicile,category
W18.1,W181,autre chute de plain-pied | établissement collectif,category
W18.2,W182,"autre chute de plain-pied | école, autre institution et lieu d'administration publique",category
W18.3,W183,autre chute de plain-pied | lieu de sport et d'athlétisme,category
W18.4,W184,autre chute de plain-pied | rue ou route,category
W18.5,W185,autre chute de plain-pied | zone de commerce et de service,category
W18.6,W186,autre chute de plain-pied | local industriel et chantier de construction,category
W18.7,W187,autre chute de plain-pied | exploitation agricole,category
W18.8,W188,autre chute de plain-pied | autres lieux précisés,category
W18.9,W189,"autre chute de plain-pied | lieu, sans précision",category
W19.0,W190,"chute, sans précision | domicile",category
W19.1,W191,"chute, sans précision | établissement collectif",category
W19.2,W192,"chute, sans précision | école, autre institution et lieu d'administration publique",category
W19.3,W193,"chute, sans précision | lieu de sport et d'athlétisme",category
W19.4,W194,"chute, sans précision | rue ou route",category
W19.5,W195,"chute, sans précision | zone de commerce et de service",category
W19.6,W196,"chute, sans précision | local industriel et chantier de construction",category
W19.7,W197,"chute, sans précision | exploitation agricole",category
W19.8,W198,"chute, sans précision | autres lieux précisés",category
W19.9,W199,"chute, sans précision | lieu, sans précision",category
W20.0,W200,heurt causé par le lancement ou la chute d'un objet | domicile,category
W20.1,W201,heurt causé par le lancement ou la chute d'un objet | établissement collectif,category
W20.2,W202,"heurt causé par le lancement ou la chute d'un objet | école, autre institution et lieu d'administration publique",category
W20.3,W203,heurt causé par le lancement ou la chute d'un objet | lieu de sport et d'athlétisme,category
W20.4,W204,heurt causé par le lancement ou la chute d'un objet | rue ou route,category
W20.5,W205,heurt causé par le lancement ou la chute d'un objet | zone de commerce et de service,category
W20.6,W206,heurt causé par le lancement ou la chute d'un objet | local industriel et chantier de construction,category
W20.7,W207,heurt causé par le lancement ou la chute d'un objet | exploitation agricole,category
W20.8,W208,heurt causé par le lancement ou la chute d'un objet | autres lieux précisés,category
W20.9,W209,"heurt causé par le lancement ou la chute d'un objet | lieu, sans précision",category
W21.0,W210,heurt contre ou par du matériel de sport | domicile,category
W21.1,W211,heurt contre ou par du matériel de sport | établissement collectif,category
W21.2,W212,"heurt contre ou par du matériel de sport | école, autre institution et lieu d'administration publique",category
W21.3,W213,heurt contre ou par du matériel de sport | lieu de sport et d'athlétisme,category
W21.4,W214,heurt contre ou par du matériel de sport | rue ou route,category
W21.5,W215,heurt contre ou par du matériel de sport | zone de commerce et de service,category
W21.6,W216,heurt contre ou par du matériel de sport | local industriel et chantier de construction,category
W21.7,W217,heurt contre ou par du matériel de sport | exploitation agricole,category
W21.8,W218,heurt contre ou par du matériel de sport | autres lieux précisés,category
W21.9,W219,"heurt contre ou par du matériel de sport | lieu, sans précision",category
W22.0,W220,heurt contre ou par d'autres objets | domicile,category
W22.1,W221,heurt contre ou par d'autres objets | établissement collectif,category
W22.2,W222,"heurt contre ou par d'autres objets | école, autre institution et lieu d'administration publique",category
W22.3,W223,heurt contre ou par d'autres objets | lieu de sport et d'athlétisme,category
W22.4,W224,heurt contre ou par d'autres objets | rue ou route,category
W22.5,W225,heurt contre ou par d'autres objets | zone de commerce et de service,category
W22.6,W226,heurt contre ou par d'autres objets | local industriel et chantier de construction,category
W22.7,W227,heurt contre ou par d'autres objets | exploitation agricole,category
W22.8,W228,heurt contre ou par d'autres objets | autres lieux précisés,category
W22.9,W229,"heurt contre ou par d'autres objets | lieu, sans précision",category
W23.0,W230,"compression, écrasement ou blocage dans des objets ou entre des objets | domicile",category
W23.1,W231,"compression, écrasement ou blocage dans des objets ou entre des objets | établissement collectif",category
W23.2,W232,"compression, écrasement ou blocage dans des objets ou entre des objets | école, autre institution et lieu d'administration publique",category
W23.3,W233,"compression, écrasement ou blocage dans des objets ou entre des objets | lieu de sport et d'athlétisme",category
W23.4,W234,"compression, écrasement ou blocage dans des objets ou entre des objets | rue ou route",category
W23.5,W235,"compression, écrasement ou blocage dans des objets ou entre des objets | zone de commerce et de service",category
