code,type,texte_retenu,texte_alternatif_ans,libelles_identiques_apres_normalisation,difference_significative
F45,exclusion,habitude de se ronger les ongles,"dysfonctionnement sexuel non induit par un trouble ou une maladie organique [F52.-]
facteurs psychologiques ou comportementaux associés à des maladies ou des troubles classés ailleurs [F54]
habitude de se ronger les ongles [F98.8]
lallation [F80.0]
onychophagie [F98.8]
s'arracher les cheveux [F98.4]
succion du pouce [F98.8]
syndrome de Gilles de la Tourette [F95.2]
tics de l'enfance et de l'adolescence [F95.-]
trichotillomanie [F63.3]
troubles dissociatifs [F44.-]
zézaiement [F80.8]
",false,true
F45,exclusion,lallation,"dysfonctionnement sexuel non induit par un trouble ou une maladie organique [F52.-]
facteurs psychologiques ou comportementaux associés à des maladies ou des troubles classés ailleurs [F54]
habitude de se ronger les ongles [F98.8]
lallation [F80.0]
onychophagie [F98.8]
s'arracher les cheveux [F98.4]
succion du pouce [F98.8]
syndrome de Gilles de la Tourette [F95.2]
tics de l'enfance et de l'adolescence [F95.-]
trichotillomanie [F63.3]
troubles dissociatifs [F44.-]
zézaiement [F80.8]
",false,true
F45,exclusion,onychophagie,"dysfonctionnement sexuel non induit par un trouble ou une maladie organique [F52.-]
facteurs psychologiques ou comportementaux associés à des maladies ou des troubles classés ailleurs [F54]
habitude de se ronger les ongles [F98.8]
lallation [F80.0]
onychophagie [F98.8]
s'arracher les cheveux [F98.4]
succion du pouce [F98.8]
syndrome de Gilles de la Tourette [F95.2]
tics de l'enfance et de l'adolescence [F95.-]
trichotillomanie [F63.3]
troubles dissociatifs [F44.-]
zézaiement [F80.8]
",false,true
F45,exclusion,s'arracher les cheveux,"dysfonctionnement sexuel non induit par un trouble ou une maladie organique [F52.-]
facteurs psychologiques ou comportementaux associés à des maladies ou des troubles classés ailleurs [F54]
habitude de se ronger les ongles [F98.8]
lallation [F80.0]
onychophagie [F98.8]
s'arracher les cheveux [F98.4]
succion du pouce [F98.8]
syndrome de Gilles de la Tourette [F95.2]
tics de l'enfance et de l'adolescence [F95.-]
trichotillomanie [F63.3]
troubles dissociatifs [F44.-]
zézaiement [F80.8]
",false,true
F45,exclusion,succion du pouce,"dysfonctionnement sexuel non induit par un trouble ou une maladie organique [F52.-]
facteurs psychologiques ou comportementaux associés à des maladies ou des troubles classés ailleurs [F54]
habitude de se ronger les ongles [F98.8]
lallation [F80.0]
onychophagie [F98.8]
s'arracher les cheveux [F98.4]
succion du pouce [F98.8]
syndrome de Gilles de la Tourette [F95.2]
tics de l'enfance et de l'adolescence [F95.-]
trichotillomanie [F63.3]
troubles dissociatifs [F44.-]
zézaiement [F80.8]
",false,true
F45,exclusion,syndrome de Gilles de la Tourette,"dysfonctionnement sexuel non induit par un trouble ou une maladie organique [F52.-]
facteurs psychologiques ou comportementaux associés à des maladies ou des troubles classés ailleurs [F54]
habitude de se ronger les ongles [F98.8]
lallation [F80.0]
onychophagie [F98.8]
s'arracher les cheveux [F98.4]
succion du pouce [F98.8]
syndrome de Gilles de la Tourette [F95.2]
tics de l'enfance et de l'adolescence [F95.-]
trichotillomanie [F63.3]
troubles dissociatifs [F44.-]
zézaiement [F80.8]
",false,true
F45,exclusion,tics de l'enfance et de l'adolescence,"dysfonctionnement sexuel non induit par un trouble ou une maladie organique [F52.-]
facteurs psychologiques ou comportementaux associés à des maladies ou des troubles classés ailleurs [F54]
habitude de se ronger les ongles [F98.8]
lallation [F80.0]
onychophagie [F98.8]
s'arracher les cheveux [F98.4]
succion du pouce [F98.8]
syndrome de Gilles de la Tourette [F95.2]
tics de l'enfance et de l'adolescence [F95.-]
trichotillomanie [F63.3]
troubles dissociatifs [F44.-]
zézaiement [F80.8]
",false,true
F45,exclusion,trichotillomanie,"dysfonctionnement sexuel non induit par un trouble ou une maladie organique [F52.-]
facteurs psychologiques ou comportementaux associés à des maladies ou des troubles classés ailleurs [F54]
habitude de se ronger les ongles [F98.8]
lallation [F80.0]
onychophagie [F98.8]
s'arracher les cheveux [F98.4]
succion du pouce [F98.8]
syndrome de Gilles de la Tourette [F95.2]
tics de l'enfance et de l'adolescence [F95.-]
trichotillomanie [F63.3]
troubles dissociatifs [F44.-]
zézaiement [F80.8]
",false,true
F45,exclusion,troubles dissociatifs,"dysfonctionnement sexuel non induit par un trouble ou une maladie organique [F52.-]
facteurs psychologiques ou comportementaux associés à des maladies ou des troubles classés ailleurs [F54]
habitude de se ronger les ongles [F98.8]
lallation [F80.0]
onychophagie [F98.8]
s'arracher les cheveux [F98.4]
succion du pouce [F98.8]
syndrome de Gilles de la Tourette [F95.2]
tics de l'enfance et de l'adolescence [F95.-]
trichotillomanie [F63.3]
troubles dissociatifs [F44.-]
zézaiement [F80.8]
",false,true
F45,exclusion,zézaiement,"dysfonctionnement sexuel non induit par un trouble ou une maladie organique [F52.-]
facteurs psychologiques ou comportementaux associés à des maladies ou des troubles classés ailleurs [F54]
habitude de se ronger les ongles [F98.8]
lallation [F80.0]
onychophagie [F98.8]
s'arracher les cheveux [F98.4]
succion du pouce [F98.8]
syndrome de Gilles de la Tourette [F95.2]
tics de l'enfance et de l'adolescence [F95.-]
trichotillomanie [F63.3]
troubles dissociatifs [F44.-]
zézaiement [F80.8]
",false,true
F45.0,exclusion,simulateur,"simulateur [Z76.5]
",false,true
F45.2,exclusion,dysmorphophobie délirante,"dysmorphophobie délirante [F22.8]
idées délirantes stables concernant le fonctionnement ou la forme du corps [F22.-]
",false,true
F45.2,exclusion,idées délirantes stables concernant le fonctionnement ou la forme du corps,"dysmorphophobie délirante [F22.8]
idées délirantes stables concernant le fonctionnement ou la forme du corps [F22.-]
",false,true
F45.3,exclusion,facteurs psychologiques et comportementaux associés à des maladies ou des troubles classés ailleurs,"facteurs psychologiques et comportementaux associés à des maladies ou des troubles classés ailleurs [F54]
",false,true
F45.4,exclusion,céphalée de tension,"céphalée de tension [G44.2]
douleur :
 - SAI [R52.9] 
 - aigüe [R52.0] 
 - chronique [R52.2] 
 - irréductible [R52.1] 
mal de dos SAI [M54.9] 
",false,true
F45.4,exclusion,douleur  SAI,"céphalée de tension [G44.2]
douleur :
 - SAI [R52.9] 
 - aigüe [R52.0] 
 - chronique [R52.2] 
 - irréductible [R52.1] 
mal de dos SAI [M54.9] 
",false,true
F45.4,exclusion,douleur aiguë,"céphalée de tension [G44.2]
douleur :
 - SAI [R52.9] 
 - aigüe [R52.0] 
 - chronique [R52.2] 
 - irréductible [R52.1] 
mal de dos SAI [M54.9] 
",false,true
F45.4,exclusion,douleur chronique,"céphalée de tension [G44.2]
douleur :
 - SAI [R52.9] 
 - aigüe [R52.0] 
 - chronique [R52.2] 
 - irréductible [R52.1] 
mal de dos SAI [M54.9] 
",false,true
F45.4,exclusion,douleur chronique irréductible,"céphalée de tension [G44.2]
douleur :
 - SAI [R52.9] 
 - aigüe [R52.0] 
 - chronique [R52.2] 
 - irréductible [R52.1] 
mal de dos SAI [M54.9] 
",false,true
