code,type,texte_retenu,texte_alternatif_ans,libelles_identiques_apres_normalisation,difference_significative
R40,exclusion,coma (du) nouveau-né,"coma (du) :
 - diabétique [E10-E14 avec le quatrième caractère .0] 
 - hépatique [K72.-] 
 - hypoglycémique (non diabétique) [E15] 
 - nouveau-né [P91.5] 
 - urémique [N19] 
",false,true
R40,exclusion,coma (du) urémique,"coma (du) :
 - diabétique [E10-E14 avec le quatrième caractère .0] 
 - hépatique [K72.-] 
 - hypoglycémique (non diabétique) [E15] 
 - nouveau-né [P91.5] 
 - urémique [N19] 
",false,true
R40-R46,exclusion,lorsqu'il s'agit d'un élément d'un trouble mental,"lorsqu'il s'agit d'un élément d'un trouble mental [F00-F99]
",false,true
R40.1,exclusion,stupeur catatonique,"stupeur :
 - catatonique [F20.2] 
 - dépressive [F31-F33] 
 - dissociative [F44.2] 
 - maniaque [F30.2] 
",false,true
R40.1,exclusion,stupeur dissociative,"stupeur :
 - catatonique [F20.2] 
 - dépressive [F31-F33] 
 - dissociative [F44.2] 
 - maniaque [F30.2] 
",false,true
R40.1,exclusion,stupeur dépressive,"stupeur :
 - catatonique [F20.2] 
 - dépressive [F31-F33] 
 - dissociative [F44.2] 
 - maniaque [F30.2] 
",false,true
R40.1,exclusion,stupeur maniaque,"stupeur :
 - catatonique [F20.2] 
 - dépressive [F31-F33] 
 - dissociative [F44.2] 
 - maniaque [F30.2] 
",false,true
R41,exclusion,troubles dissociatifs [de conversion],"troubles dissociatifs [de conversion] [F44.-]
",false,true
R41.0,exclusion,désorientation psychogène,"désorientation psychogène [F44.8]
",false,true
R41.3,exclusion,amnésie globale transitoire,"amnésie globale transitoire [G45.4]
syndrome amnésique :
 - dû à l'utilisation de substances psychoactives [F10-F19 avec le quatrième caractère .6] 
 - organique [F04] 
",false,true
R41.3,exclusion,syndrome amnésique dû à l'utilisation de substances psycho-actives,"amnésie globale transitoire [G45.4]
syndrome amnésique :
 - dû à l'utilisation de substances psychoactives [F10-F19 avec le quatrième caractère .6] 
 - organique [F04] 
",false,true
R41.3,exclusion,syndrome amnésique organique,"amnésie globale transitoire [G45.4]
syndrome amnésique :
 - dû à l'utilisation de substances psychoactives [F10-F19 avec le quatrième caractère .6] 
 - organique [F04] 
",false,true
R42,exclusion,syndromes vertigineux,"syndromes vertigineux [H81.-]
",false,true
R44,exclusion,troubles de la sensibilité cutanée,"troubles de la sensibilité cutanée [R20.-]
",false,true
R46.4,exclusion,stupeur,"stupeur [R40.1]
",false,true
R47,exclusion,autisme,"autisme [F84.0- F84.1]
bégaiement [F98.5]
bredouillement [langage précipité] [F98.6]
troubles spécifiques du développement de la parole et du langage [F80.-]
",false,true
R47,exclusion,bredouillement [langage précipité],"autisme [F84.0- F84.1]
bégaiement [F98.5]
bredouillement [langage précipité] [F98.6]
troubles spécifiques du développement de la parole et du langage [F80.-]
",false,true
R47,exclusion,bégaiement,"autisme [F84.0- F84.1]
bégaiement [F98.5]
bredouillement [langage précipité] [F98.6]
troubles spécifiques du développement de la parole et du langage [F80.-]
",false,true
R47,exclusion,troubles spécifiques du développement de la parole et du langage,"autisme [F84.0- F84.1]
bégaiement [F98.5]
bredouillement [langage précipité] [F98.6]
troubles spécifiques du développement de la parole et du langage [F80.-]
",false,true
R47.0,exclusion,aphasie progressive isolée,"aphasie progressive isolée [G31.0]
",false,true
R48,exclusion,troubles spécifiques au cours du développement des acquisitions scolaires,"troubles spécifiques au cours du développement des acquisitions scolaires [F81.-]
",false,true
R49,exclusion,troubles psychogènes de la voix,"troubles psychogènes de la voix [F44.4]
",false,true
R50,exclusion,fièvre d'origine inconnue (au cours de) (du) nouveau-né,"fièvre d'origine inconnue (au cours de) (du) :
 - nouveau-né [P81.9] 
 - travail [O75.2] 
hyperthermie d'origine inconnue, après accouchement [O86.4] 
",false,true
R50,exclusion,fièvre d'origine inconnue (au cours de) (du) travail,"fièvre d'origine inconnue (au cours de) (du) :
 - nouveau-né [P81.9] 
 - travail [O75.2] 
hyperthermie d'origine inconnue, après accouchement [O86.4] 
",false,true
R50,exclusion,"hyperthermie d'origine inconnue, après accouchement","fièvre d'origine inconnue (au cours de) (du) :
 - nouveau-né [P81.9] 
 - travail [O75.2] 
hyperthermie d'origine inconnue, après accouchement [O86.4] 
",false,true
R50.9,exclusion,hyperthermie maligne due à une anesthésie,"fièvre d'origine inconnue (au cours de) (du) :
 - nouveau-né [P81.9] 
 - travail [O75.2] 
hyperthermie d'origine inconnue, après accouchement [O86.4] 
",false,true
R51,exclusion,algie faciale atypique,"algie faciale atypique [G50.1]
migraine et autres syndromes d'algies céphaliques [G43-G44]
névralgie du trijumeau [G50.0]
",false,true
R51,exclusion,migraine et autres syndromes d'algies céphaliques,"algie faciale atypique [G50.1]
migraine et autres syndromes d'algies céphaliques [G43-G44]
névralgie du trijumeau [G50.0]
",false,true
R51,exclusion,névralgie du trijumeau,"algie faciale atypique [G50.1]
migraine et autres syndromes d'algies céphaliques [G43-G44]
névralgie du trijumeau [G50.0]
",false,true
R52,exclusion,colique néphrétique,"céphalée [R51]
colique néphrétique [N23]
douleur (de) :
 - abdominale [R10.-] 
 - articulaire [M25.5] 
 - dent [K08.8] 
 - dos [M54.9] 
 - épaule [M25.5] 
 - gorge [R07.0] 
 - langue [K14.6] 
 - mammaire [N64.4] 
 - membre [M79.6] 
 - oculaire [H57.1] 
 - oreille [H92.0] 
 - pelvienne et périnéale [R10.2] 
 - psychogène [F45.4] 
 - rachis [M54.-] 
 - région lombaire [M54.5] 
 - thoracique [R07.1-R07.4] 
personnalité caractérisée par un syndrome algique chronique [F62.8] 
",false,true
R52,exclusion,céphalée,"céphalée [R51]
colique néphrétique [N23]
douleur (de) :
 - abdominale [R10.-] 
 - articulaire [M25.5] 
 - dent [K08.8] 
 - dos [M54.9] 
 - épaule [M25.5] 
 - gorge [R07.0] 
 - langue [K14.6] 
 - mammaire [N64.4] 
 - membre [M79.6] 
 - oculaire [H57.1] 
 - oreille [H92.0] 
 - pelvienne et périnéale [R10.2] 
 - psychogène [F45.4] 
 - rachis [M54.-] 
 - région lombaire [M54.5] 
 - thoracique [R07.1-R07.4] 
personnalité caractérisée par un syndrome algique chronique [F62.8] 
",false,true
R52,exclusion,douleur (de) abdominale,"céphalée [R51]
colique néphrétique [N23]
douleur (de) :
 - abdominale [R10.-] 
 - articulaire [M25.5] 
 - dent [K08.8] 
 - dos [M54.9] 
 - épaule [M25.5] 
 - gorge [R07.0] 
 - langue [K14.6] 
 - mammaire [N64.4] 
 - membre [M79.6] 
 - oculaire [H57.1] 
 - oreille [H92.0] 
 - pelvienne et périnéale [R10.2] 
 - psychogène [F45.4] 
 - rachis [M54.-] 
 - région lombaire [M54.5] 
 - thoracique [R07.1-R07.4] 
personnalité caractérisée par un syndrome algique chronique [F62.8] 
",false,true
R52,exclusion,douleur (de) articulaire,"céphalée [R51]
colique néphrétique [N23]
douleur (de) :
 - abdominale [R10.-] 
 - articulaire [M25.5] 
 - dent [K08.8] 
 - dos [M54.9] 
 - épaule [M25.5] 
 - gorge [R07.0] 
 - langue [K14.6] 
 - mammaire [N64.4] 
 - membre [M79.6] 
 - oculaire [H57.1] 
 - oreille [H92.0] 
 - pelvienne et périnéale [R10.2] 
 - psychogène [F45.4] 
 - rachis [M54.-] 
 - région lombaire [M54.5] 
 - thoracique [R07.1-R07.4] 
personnalité caractérisée par un syndrome algique chronique [F62.8] 
",false,true
R52,exclusion,douleur (de) dent,"céphalée [R51]
colique néphrétique [N23]
douleur (de) :
 - abdominale [R10.-] 
 - articulaire [M25.5] 
 - dent [K08.8] 
 - dos [M54.9] 
 - épaule [M25.5] 
 - gorge [R07.0] 
 - langue [K14.6] 
 - mammaire [N64.4] 
 - membre [M79.6] 
 - oculaire [H57.1] 
 - oreille [H92.0] 
 - pelvienne et périnéale [R10.2] 
 - psychogène [F45.4] 
 - rachis [M54.-] 
 - région lombaire [M54.5] 
 - thoracique [R07.1-R07.4] 
personnalité caractérisée par un syndrome algique chronique [F62.8] 
",false,true
R52,exclusion,douleur (de) dos,"céphalée [R51]
colique néphrétique [N23]
douleur (de) :
 - abdominale [R10.-] 
 - articulaire [M25.5] 
 - dent [K08.8] 
 - dos [M54.9] 
 - épaule [M25.5] 
 - gorge [R07.0] 
 - langue [K14.6] 
 - mammaire [N64.4] 
 - membre [M79.6] 
 - oculaire [H57.1] 
 - oreille [H92.0] 
 - pelvienne et périnéale [R10.2] 
 - psychogène [F45.4] 
 - rachis [M54.-] 
 - région lombaire [M54.5] 
 - thoracique [R07.1-R07.4] 
personnalité caractérisée par un syndrome algique chronique [F62.8] 
",false,true
R52,exclusion,douleur (de) gorge,"céphalée [R51]
colique néphrétique [N23]
douleur (de) :
 - abdominale [R10.-] 
 - articulaire [M25.5] 
 - dent [K08.8] 
 - dos [M54.9] 
 - épaule [M25.5] 
 - gorge [R07.0] 
 - langue [K14.6] 
 - mammaire [N64.4] 
 - membre [M79.6] 
 - oculaire [H57.1] 
 - oreille [H92.0] 
 - pelvienne et périnéale [R10.2] 
 - psychogène [F45.4] 
 - rachis [M54.-] 
 - région lombaire [M54.5] 
 - thoracique [R07.1-R07.4] 
personnalité caractérisée par un syndrome algique chronique [F62.8] 
",false,true
R52,exclusion,douleur (de) langue,"céphalée [R51]
colique néphrétique [N23]
douleur (de) :
 - abdominale [R10.-] 
 - articulaire [M25.5] 
 - dent [K08.8] 
 - dos [M54.9] 
 - épaule [M25.5] 
 - gorge [R07.0] 
 - langue [K14.6] 
 - mammaire [N64.4] 
 - membre [M79.6] 
 - oculaire [H57.1] 
 - oreille [H92.0] 
 - pelvienne et périnéale [R10.2] 
 - psychogène [F45.4] 
 - rachis [M54.-] 
 - région lombaire [M54.5] 
 - thoracique [R07.1-R07.4] 
personnalité caractérisée par un syndrome algique chronique [F62.8] 
",false,true
R52,exclusion,douleur (de) mammaire,"céphalée [R51]
colique néphrétique [N23]
douleur (de) :
 - abdominale [R10.-] 
 - articulaire [M25.5] 
 - dent [K08.8] 
 - dos [M54.9] 
 - épaule [M25.5] 
 - gorge [R07.0] 
 - langue [K14.6] 
 - mammaire [N64.4] 
 - membre [M79.6] 
 - oculaire [H57.1] 
 - oreille [H92.0] 
 - pelvienne et périnéale [R10.2] 
 - psychogène [F45.4] 
 - rachis [M54.-] 
 - région lombaire [M54.5] 
 - thoracique [R07.1-R07.4] 
personnalité caractérisée par un syndrome algique chronique [F62.8] 
",false,true
R52,exclusion,douleur (de) membre,"céphalée [R51]
colique néphrétique [N23]
douleur (de) :
 - abdominale [R10.-] 
 - articulaire [M25.5] 
 - dent [K08.8] 
 - dos [M54.9] 
 - épaule [M25.5] 
 - gorge [R07.0] 
 - langue [K14.6] 
 - mammaire [N64.4] 
 - membre [M79.6] 
 - oculaire [H57.1] 
 - oreille [H92.0] 
 - pelvienne et périnéale [R10.2] 
 - psychogène [F45.4] 
 - rachis [M54.-] 
 - région lombaire [M54.5] 
 - thoracique [R07.1-R07.4] 
personnalité caractérisée par un syndrome algique chronique [F62.8] 
",false,true
R52,exclusion,douleur (de) oculaire,"céphalée [R51]
colique néphrétique [N23]
douleur (de) :
 - abdominale [R10.-] 
 - articulaire [M25.5] 
 - dent [K08.8] 
 - dos [M54.9] 
 - épaule [M25.5] 
 - gorge [R07.0] 
 - langue [K14.6] 
 - mammaire [N64.4] 
 - membre [M79.6] 
 - oculaire [H57.1] 
 - oreille [H92.0] 
 - pelvienne et périnéale [R10.2] 
 - psychogène [F45.4] 
 - rachis [M54.-] 
 - région lombaire [M54.5] 
 - thoracique [R07.1-R07.4] 
personnalité caractérisée par un syndrome algique chronique [F62.8] 
",false,true
R52,exclusion,douleur (de) oreille,"céphalée [R51]
colique néphrétique [N23]
douleur (de) :
 - abdominale [R10.-] 
 - articulaire [M25.5] 
 - dent [K08.8] 
 - dos [M54.9] 
 - épaule [M25.5] 
 - gorge [R07.0] 
 - langue [K14.6] 
 - mammaire [N64.4] 
 - membre [M79.6] 
 - oculaire [H57.1] 
 - oreille [H92.0] 
 - pelvienne et périnéale [R10.2] 
 - psychogène [F45.4] 
 - rachis [M54.-] 
 - région lombaire [M54.5] 
 - thoracique [R07.1-R07.4] 
personnalité caractérisée par un syndrome algique chronique [F62.8] 
",false,true
R52,exclusion,douleur (de) pelvienne et périnéale,"céphalée [R51]
colique néphrétique [N23]
douleur (de) :
 - abdominale [R10.-] 
 - articulaire [M25.5] 
 - dent [K08.8] 
 - dos [M54.9] 
 - épaule [M25.5] 
 - gorge [R07.0] 
 - langue [K14.6] 
 - mammaire [N64.4] 
 - membre [M79.6] 
 - oculaire [H57.1] 
 - oreille [H92.0] 
 - pelvienne et périnéale [R10.2] 
 - psychogène [F45.4] 
 - rachis [M54.-] 
 - région lombaire [M54.5] 
 - thoracique [R07.1-R07.4] 
personnalité caractérisée par un syndrome algique chronique [F62.8] 
",false,true
R52,exclusion,douleur (de) psychogène,"céphalée [R51]
colique néphrétique [N23]
douleur (de) :
 - abdominale [R10.-] 
 - articulaire [M25.5] 
 - dent [K08.8] 
 - dos [M54.9] 
 - épaule [M25.5] 
 - gorge [R07.0] 
 - langue [K14.6] 
 - mammaire [N64.4] 
 - membre [M79.6] 
 - oculaire [H57.1] 
 - oreille [H92.0] 
 - pelvienne et périnéale [R10.2] 
 - psychogène [F45.4] 
 - rachis [M54.-] 
 - région lombaire [M54.5] 
 - thoracique [R07.1-R07.4] 
personnalité caractérisée par un syndrome algique chronique [F62.8] 
",false,true
R52,exclusion,douleur (de) rachis,"céphalée [R51]
colique néphrétique [N23]
douleur (de) :
 - abdominale [R10.-] 
 - articulaire [M25.5] 
 - dent [K08.8] 
 - dos [M54.9] 
 - épaule [M25.5] 
 - gorge [R07.0] 
 - langue [K14.6] 
 - mammaire [N64.4] 
 - membre [M79.6] 
 - oculaire [H57.1] 
 - oreille [H92.0] 
 - pelvienne et périnéale [R10.2] 
 - psychogène [F45.4] 
 - rachis [M54.-] 
 - région lombaire [M54.5] 
 - thoracique [R07.1-R07.4] 
personnalité caractérisée par un syndrome algique chronique [F62.8] 
",false,true
R52,exclusion,douleur (de) région lombaire,"céphalée [R51]
colique néphrétique [N23]
douleur (de) :
 - abdominale [R10.-] 
 - articulaire [M25.5] 
 - dent [K08.8] 
 - dos [M54.9] 
 - épaule [M25.5] 
 - gorge [R07.0] 
 - langue [K14.6] 
 - mammaire [N64.4] 
 - membre [M79.6] 
 - oculaire [H57.1] 
 - oreille [H92.0] 
 - pelvienne et périnéale [R10.2] 
 - psychogène [F45.4] 
 - rachis [M54.-] 
 - région lombaire [M54.5] 
 - thoracique [R07.1-R07.4] 
personnalité caractérisée par un syndrome algique chronique [F62.8] 
",false,true
R52,exclusion,douleur (de) thoracique,"céphalée [R51]
colique néphrétique [N23]
douleur (de) :
 - abdominale [R10.-] 
 - articulaire [M25.5] 
 - dent [K08.8] 
 - dos [M54.9] 
 - épaule [M25.5] 
 - gorge [R07.0] 
 - langue [K14.6] 
 - mammaire [N64.4] 
 - membre [M79.6] 
 - oculaire [H57.1] 
 - oreille [H92.0] 
 - pelvienne et périnéale [R10.2] 
 - psychogène [F45.4] 
 - rachis [M54.-] 
 - région lombaire [M54.5] 
 - thoracique [R07.1-R07.4] 
personnalité caractérisée par un syndrome algique chronique [F62.8] 
",false,true
R52,exclusion,douleur (de) épaule,"céphalée [R51]
colique néphrétique [N23]
douleur (de) :
 - abdominale [R10.-] 
 - articulaire [M25.5] 
 - dent [K08.8] 
 - dos [M54.9] 
 - épaule [M25.5] 
 - gorge [R07.0] 
 - langue [K14.6] 
 - mammaire [N64.4] 
 - membre [M79.6] 
 - oculaire [H57.1] 
 - oreille [H92.0] 
 - pelvienne et périnéale [R10.2] 
 - psychogène [F45.4] 
 - rachis [M54.-] 
 - région lombaire [M54.5] 
 - thoracique [R07.1-R07.4] 
personnalité caractérisée par un syndrome algique chronique [F62.8] 
",false,true
R52,exclusion,personnalité caractérisée par un syndrome algique chronique,"céphalée [R51]
colique néphrétique [N23]
douleur (de) :
 - abdominale [R10.-] 
 - articulaire [M25.5] 
 - dent [K08.8] 
 - dos [M54.9] 
 - épaule [M25.5] 
 - gorge [R07.0] 
 - langue [K14.6] 
 - mammaire [N64.4] 
 - membre [M79.6] 
 - oculaire [H57.1] 
 - oreille [H92.0] 
 - pelvienne et périnéale [R10.2] 
 - psychogène [F45.4] 
 - rachis [M54.-] 
 - région lombaire [M54.5] 
 - thoracique [R07.1-R07.4] 
personnalité caractérisée par un syndrome algique chronique [F62.8] 
",false,true
R52,inclusion,douleur ne pouvant être rapportée à un seul organe ou une seule partie du corps,,true,false
R54,exclusion,psychose sénile,"psychose sénile [F03]
",false,true
R55,exclusion,asthénie neuro-circulatoire,"asthénie neurocirculatoire [F45.3]
choc :
 - SAI [R57.9] 
 - cardiogénique [R57.0] 
 - compliquant ou consécutif à :
  - avortement, grossesse extra-utérine ou molaire [O00-O07]  [O08.3] 
  - travail et accouchement [O75.1] 
 - postopératoire [T81.1] 
crise de Stokes–Adams [I45.9] 
- hypotension orthostatique [I95.1]  - neurogène [G23.8] 
perte de conscience SAI [R40.2] 
- syncope :
 - due à la chaleur [T67.1] 
 - psychogène [F48.8] 
syndrome du sinus carotidien [G90.0] 
",false,true
R55,exclusion,choc  SAI,"asthénie neurocirculatoire [F45.3]
choc :
 - SAI [R57.9] 
 - cardiogénique [R57.0] 
 - compliquant ou consécutif à :
  - avortement, grossesse extra-utérine ou molaire [O00-O07]  [O08.3] 
  - travail et accouchement [O75.1] 
 - postopératoire [T81.1] 
crise de Stokes–Adams [I45.9] 
- hypotension orthostatique [I95.1]  - neurogène [G23.8] 
perte de conscience SAI [R40.2] 
- syncope :
 - due à la chaleur [T67.1] 
 - psychogène [F48.8] 
syndrome du sinus carotidien [G90.0] 
",false,true
R55,exclusion,choc cardiogénique,"asthénie neurocirculatoire [F45.3]
choc :
 - SAI [R57.9] 
 - cardiogénique [R57.0] 
 - compliquant ou consécutif à :
  - avortement, grossesse extra-utérine ou molaire [O00-O07]  [O08.3] 
  - travail et accouchement [O75.1] 
 - postopératoire [T81.1] 
crise de Stokes–Adams [I45.9] 
- hypotension orthostatique [I95.1]  - neurogène [G23.8] 
perte de conscience SAI [R40.2] 
- syncope :
 - due à la chaleur [T67.1] 
 - psychogène [F48.8] 
syndrome du sinus carotidien [G90.0] 
",false,true
R55,exclusion,"choc compliquant ou consécutif à avortement, grossesse extra-utérine ou molaire","asthénie neurocirculatoire [F45.3]
choc :
 - SAI [R57.9] 
 - cardiogénique [R57.0] 
 - compliquant ou consécutif à :
  - avortement, grossesse extra-utérine ou molaire [O00-O07]  [O08.3] 
  - travail et accouchement [O75.1] 
 - postopératoire [T81.1] 
crise de Stokes–Adams [I45.9] 
- hypotension orthostatique [I95.1]  - neurogène [G23.8] 
perte de conscience SAI [R40.2] 
- syncope :
 - due à la chaleur [T67.1] 
 - psychogène [F48.8] 
syndrome du sinus carotidien [G90.0] 
",false,true
R55,exclusion,choc compliquant ou consécutif à travail et accouchement,"asthénie neurocirculatoire [F45.3]
choc :
 - SAI [R57.9] 
 - cardiogénique [R57.0] 
 - compliquant ou consécutif à :
  - avortement, grossesse extra-utérine ou molaire [O00-O07]  [O08.3] 
  - travail et accouchement [O75.1] 
 - postopératoire [T81.1] 
crise de Stokes–Adams [I45.9] 
- hypotension orthostatique [I95.1]  - neurogène [G23.8] 
perte de conscience SAI [R40.2] 
- syncope :
 - due à la chaleur [T67.1] 
 - psychogène [F48.8] 
syndrome du sinus carotidien [G90.0] 
",false,true
R55,exclusion,choc post-opératoire,"asthénie neurocirculatoire [F45.3]
choc :
 - SAI [R57.9] 
 - cardiogénique [R57.0] 
 - compliquant ou consécutif à :
  - avortement, grossesse extra-utérine ou molaire [O00-O07]  [O08.3] 
  - travail et accouchement [O75.1] 
 - postopératoire [T81.1] 
crise de Stokes–Adams [I45.9] 
- hypotension orthostatique [I95.1]  - neurogène [G23.8] 
perte de conscience SAI [R40.2] 
- syncope :
 - due à la chaleur [T67.1] 
 - psychogène [F48.8] 
syndrome du sinus carotidien [G90.0] 
",false,true
R55,exclusion,crise de Stokes­Adams,"asthénie neurocirculatoire [F45.3]
choc :
 - SAI [R57.9] 
 - cardiogénique [R57.0] 
 - compliquant ou consécutif à :
  - avortement, grossesse extra-utérine ou molaire [O00-O07]  [O08.3] 
  - travail et accouchement [O75.1] 
 - postopératoire [T81.1] 
crise de Stokes–Adams [I45.9] 
- hypotension orthostatique [I95.1]  - neurogène [G23.8] 
perte de conscience SAI [R40.2] 
- syncope :
 - due à la chaleur [T67.1] 
 - psychogène [F48.8] 
syndrome du sinus carotidien [G90.0] 
",false,true
R55,exclusion,hypotension orthostatique,"asthénie neurocirculatoire [F45.3]
choc :
 - SAI [R57.9] 
 - cardiogénique [R57.0] 
 - compliquant ou consécutif à :
  - avortement, grossesse extra-utérine ou molaire [O00-O07]  [O08.3] 
  - travail et accouchement [O75.1] 
 - postopératoire [T81.1] 
crise de Stokes–Adams [I45.9] 
- hypotension orthostatique [I95.1]  - neurogène [G23.8] 
perte de conscience SAI [R40.2] 
- syncope :
 - due à la chaleur [T67.1] 
 - psychogène [F48.8] 
syndrome du sinus carotidien [G90.0] 
",false,true
R55,exclusion,hypotension orthostatique neurogène,"asthénie neurocirculatoire [F45.3]
choc :
 - SAI [R57.9] 
 - cardiogénique [R57.0] 
 - compliquant ou consécutif à :
  - avortement, grossesse extra-utérine ou molaire [O00-O07]  [O08.3] 
  - travail et accouchement [O75.1] 
 - postopératoire [T81.1] 
crise de Stokes–Adams [I45.9] 
- hypotension orthostatique [I95.1]  - neurogène [G23.8] 
perte de conscience SAI [R40.2] 
- syncope :
 - due à la chaleur [T67.1] 
 - psychogène [F48.8] 
syndrome du sinus carotidien [G90.0] 
",false,true
R55,exclusion,perte de conscience SAI,"asthénie neurocirculatoire [F45.3]
choc :
 - SAI [R57.9] 
 - cardiogénique [R57.0] 
 - compliquant ou consécutif à :
  - avortement, grossesse extra-utérine ou molaire [O00-O07]  [O08.3] 
  - travail et accouchement [O75.1] 
 - postopératoire [T81.1] 
crise de Stokes–Adams [I45.9] 
- hypotension orthostatique [I95.1]  - neurogène [G23.8] 
perte de conscience SAI [R40.2] 
- syncope :
 - due à la chaleur [T67.1] 
 - psychogène [F48.8] 
syndrome du sinus carotidien [G90.0] 
",false,true
R55,exclusion,syncope due à la chaleur,"asthénie neurocirculatoire [F45.3]
choc :
 - SAI [R57.9] 
 - cardiogénique [R57.0] 
 - compliquant ou consécutif à :
  - avortement, grossesse extra-utérine ou molaire [O00-O07]  [O08.3] 
  - travail et accouchement [O75.1] 
 - postopératoire [T81.1] 
crise de Stokes–Adams [I45.9] 
- hypotension orthostatique [I95.1]  - neurogène [G23.8] 
perte de conscience SAI [R40.2] 
- syncope :
 - due à la chaleur [T67.1] 
 - psychogène [F48.8] 
syndrome du sinus carotidien [G90.0] 
",false,true
R55,exclusion,syncope psychogène,"asthénie neurocirculatoire [F45.3]
choc :
 - SAI [R57.9] 
 - cardiogénique [R57.0] 
 - compliquant ou consécutif à :
  - avortement, grossesse extra-utérine ou molaire [O00-O07]  [O08.3] 
  - travail et accouchement [O75.1] 
 - postopératoire [T81.1] 
crise de Stokes–Adams [I45.9] 
- hypotension orthostatique [I95.1]  - neurogène [G23.8] 
perte de conscience SAI [R40.2] 
- syncope :
 - due à la chaleur [T67.1] 
 - psychogène [F48.8] 
syndrome du sinus carotidien [G90.0] 
",false,true
R55,exclusion,syndrome du sinus carotidien,"asthénie neurocirculatoire [F45.3]
choc :
 - SAI [R57.9] 
 - cardiogénique [R57.0] 
 - compliquant ou consécutif à :
  - avortement, grossesse extra-utérine ou molaire [O00-O07]  [O08.3] 
  - travail et accouchement [O75.1] 
 - postopératoire [T81.1] 
crise de Stokes–Adams [I45.9] 
- hypotension orthostatique [I95.1]  - neurogène [G23.8] 
perte de conscience SAI [R40.2] 
- syncope :
 - due à la chaleur [T67.1] 
 - psychogène [F48.8] 
syndrome du sinus carotidien [G90.0] 
",false,true
R56,exclusion,convulsions et crises convulsives (au cours de) (du) dissociatives,"convulsions et crises convulsives (au cours de) (du) :
 - dissociatives [F44.5] 
 - épilepsie [G40-G41] 
 - nouveau-né [P90] 
",false,true
R56,exclusion,convulsions et crises convulsives (au cours de) (du) nouveau-né,"convulsions et crises convulsives (au cours de) (du) :
 - dissociatives [F44.5] 
 - épilepsie [G40-G41] 
 - nouveau-né [P90] 
",false,true
R56,exclusion,convulsions et crises convulsives (au cours de) (du) épilepsie,"convulsions et crises convulsives (au cours de) (du) :
 - dissociatives [F44.5] 
 - épilepsie [G40-G41] 
 - nouveau-né [P90] 
",false,true
R57,exclusion,choc (dû à) anaphylactique (dû à)  SAI,"choc (dû à) :
 - anaphylactique (dû à) :
  - SAI [T78.2] 
  - intolérance alimentaire [T78.0] 
  - sérum [T80.5] 
 - anesthésique [T88.2] 
 - compliquant ou consécutif à avortement, grossesse extra-utérine ou molaire [O00-O07]  [O08.3] 
 - électrique [T75.4] 
 - foudre [T75.0] 
 - obstétrical [O75.1] 
 - postopératoire [T81.1] 
 - psychique [F43.0] 
 - traumatique [T79.4] 
syndrome du choc toxique [A48.3] 
",false,true
R57,exclusion,choc (dû à) anaphylactique (dû à) intolérance alimentaire,"choc (dû à) :
 - anaphylactique (dû à) :
  - SAI [T78.2] 
  - intolérance alimentaire [T78.0] 
  - sérum [T80.5] 
 - anesthésique [T88.2] 
 - compliquant ou consécutif à avortement, grossesse extra-utérine ou molaire [O00-O07]  [O08.3] 
 - électrique [T75.4] 
 - foudre [T75.0] 
 - obstétrical [O75.1] 
 - postopératoire [T81.1] 
 - psychique [F43.0] 
 - traumatique [T79.4] 
syndrome du choc toxique [A48.3] 
",false,true
R57,exclusion,choc (dû à) anaphylactique (dû à) sérum,"choc (dû à) :
 - anaphylactique (dû à) :
  - SAI [T78.2] 
  - intolérance alimentaire [T78.0] 
  - sérum [T80.5] 
 - anesthésique [T88.2] 
 - compliquant ou consécutif à avortement, grossesse extra-utérine ou molaire [O00-O07]  [O08.3] 
 - électrique [T75.4] 
 - foudre [T75.0] 
 - obstétrical [O75.1] 
 - postopératoire [T81.1] 
 - psychique [F43.0] 
 - traumatique [T79.4] 
syndrome du choc toxique [A48.3] 
",false,true
R57,exclusion,choc (dû à) anesthésique,"choc (dû à) :
 - anaphylactique (dû à) :
  - SAI [T78.2] 
  - intolérance alimentaire [T78.0] 
  - sérum [T80.5] 
 - anesthésique [T88.2] 
 - compliquant ou consécutif à avortement, grossesse extra-utérine ou molaire [O00-O07]  [O08.3] 
 - électrique [T75.4] 
 - foudre [T75.0] 
 - obstétrical [O75.1] 
 - postopératoire [T81.1] 
 - psychique [F43.0] 
 - traumatique [T79.4] 
syndrome du choc toxique [A48.3] 
",false,true
R57,exclusion,"choc (dû à) compliquant ou consécutif à avortement, grossesse extra-utérine ou molaire","choc (dû à) :
 - anaphylactique (dû à) :
  - SAI [T78.2] 
  - intolérance alimentaire [T78.0] 
  - sérum [T80.5] 
 - anesthésique [T88.2] 
 - compliquant ou consécutif à avortement, grossesse extra-utérine ou molaire [O00-O07]  [O08.3] 
 - électrique [T75.4] 
 - foudre [T75.0] 
 - obstétrical [O75.1] 
 - postopératoire [T81.1] 
 - psychique [F43.0] 
 - traumatique [T79.4] 
syndrome du choc toxique [A48.3] 
",false,true
