code,field,owl_value,ofs_value,resolved_to
M90.16,label,"Périostite au cours d'autres maladies infectieuses classées ailleurs - "" Jambe """,périostite au cours d'autres maladies infectieuses classées ailleurs | jambe,OWL_ANS
M90.17,label,"Périostite au cours d'autres maladies infectieuses classées ailleurs - "" Cheville et pied """,périostite au cours d'autres maladies infectieuses classées ailleurs | cheville et pied,OWL_ANS
M90.18,label,"Périostite au cours d'autres maladies infectieuses classées ailleurs - "" Autres """,périostite au cours d'autres maladies infectieuses classées ailleurs | autres,OWL_ANS
M90.19,label,"Périostite au cours d'autres maladies infectieuses classées ailleurs - "" Siège non précisé """,périostite au cours d'autres maladies infectieuses classées ailleurs | siège non précisé,OWL_ANS
M90.20,label,"Ostéopathie au cours d'autres maladies infectieuses  classées ailleurs - "" Sièges multiples """,ostéopathie au cours d'autres maladies infectieuses classées ailleurs | sièges multiples,OWL_ANS
M90.21,label,"Ostéopathie au cours d'autres maladies infectieuses  classées ailleurs - "" Région scapulaire """,ostéopathie au cours d'autres maladies infectieuses classées ailleurs | région scapulaire,OWL_ANS
M90.22,label,"Ostéopathie au cours d'autres maladies infectieuses  classées ailleurs - "" Bras """,ostéopathie au cours d'autres maladies infectieuses classées ailleurs | bras,OWL_ANS
M90.23,label,"Ostéopathie au cours d'autres maladies infectieuses  classées ailleurs - "" Avant-bras """,ostéopathie au cours d'autres maladies infectieuses classées ailleurs | avant-bras,OWL_ANS
M90.24,label,"Ostéopathie au cours d'autres maladies infectieuses  classées ailleurs - "" Main """,ostéopathie au cours d'autres maladies infectieuses classées ailleurs | main,OWL_ANS
M90.25,label,"Ostéopathie au cours d'autres maladies infectieuses  classées ailleurs - "" Région pelvienne et cuisse """,ostéopathie au cours d'autres maladies infectieuses classées ailleurs | région pelvienne et cuisse,OWL_ANS
M90.26,label,"Ostéopathie au cours d'autres maladies infectieuses  classées ailleurs - "" Jambe """,ostéopathie au cours d'autres maladies infectieuses classées ailleurs | jambe,OWL_ANS
M90.27,label,"Ostéopathie au cours d'autres maladies infectieuses  classées ailleurs - "" Cheville et pied """,ostéopathie au cours d'autres maladies infectieuses classées ailleurs | cheville et pied,OWL_ANS
M90.28,label,"Ostéopathie au cours d'autres maladies infectieuses  classées ailleurs - "" Autres """,ostéopathie au cours d'autres maladies infectieuses classées ailleurs | autres,OWL_ANS
M90.29,label,"Ostéopathie au cours d'autres maladies infectieuses  classées ailleurs - "" Siège non précisé """,ostéopathie au cours d'autres maladies infectieuses classées ailleurs | siège non précisé,OWL_ANS
M90.30,label,"Ostéonécrose de la maladie des caissons [T70.3]   - "" Sièges multiples """,ostéonécrose de la maladie des caissons | sièges multiples,OWL_ANS
M90.31,label,"Ostéonécrose de la maladie des caissons [T70.3]   - "" Région scapulaire """,ostéonécrose de la maladie des caissons | région scapulaire,OWL_ANS
M90.32,label,"Ostéonécrose de la maladie des caissons [T70.3]   - "" Bras """,ostéonécrose de la maladie des caissons | bras,OWL_ANS
M90.33,label,"Ostéonécrose de la maladie des caissons [T70.3]   - "" Avant-bras """,ostéonécrose de la maladie des caissons | avant-bras,OWL_ANS
M90.34,label,"Ostéonécrose de la maladie des caissons [T70.3]   - "" Main """,ostéonécrose de la maladie des caissons | main,OWL_ANS
M90.35,label,"Ostéonécrose de la maladie des caissons [T70.3]   - "" Région pelvienne et cuisse """,ostéonécrose de la maladie des caissons | région pelvienne et cuisse,OWL_ANS
M90.36,label,"Ostéonécrose de la maladie des caissons [T70.3]   - "" Jambe """,ostéonécrose de la maladie des caissons | jambe,OWL_ANS
M90.37,label,"Ostéonécrose de la maladie des caissons [T70.3]   - "" Cheville et pied """,ostéonécrose de la maladie des caissons | cheville et pied,OWL_ANS
M90.38,label,"Ostéonécrose de la maladie des caissons [T70.3]   - "" Autres """,ostéonécrose de la maladie des caissons | autres,OWL_ANS
M90.39,label,"Ostéonécrose de la maladie des caissons [T70.3]   - "" Siège non précisé """,ostéonécrose de la maladie des caissons | siège non précisé,OWL_ANS
M90.40,label,"Ostéonécrose due à une hémoglobinopathie [D50-D64]   - "" Sièges multiples """,ostéonécrose due à une hémoglobinopathie | sièges multiples,OWL_ANS
M90.41,label,"Ostéonécrose due à une hémoglobinopathie [D50-D64]   - "" Région scapulaire """,ostéonécrose due à une hémoglobinopathie | région scapulaire,OWL_ANS
M90.42,label,"Ostéonécrose due à une hémoglobinopathie [D50-D64]   - "" Bras """,ostéonécrose due à une hémoglobinopathie | bras,OWL_ANS
M90.43,label,"Ostéonécrose due à une hémoglobinopathie [D50-D64]   - "" Avant-bras """,ostéonécrose due à une hémoglobinopathie | avant-bras,OWL_ANS
M90.44,label,"Ostéonécrose due à une hémoglobinopathie [D50-D64]   - "" Main """,ostéonécrose due à une hémoglobinopathie | main,OWL_ANS
M90.45,label,"Ostéonécrose due à une hémoglobinopathie [D50-D64]   - "" Région pelvienne et cuisse """,ostéonécrose due à une hémoglobinopathie | région pelvienne et cuisse,OWL_ANS
M90.46,label,"Ostéonécrose due à une hémoglobinopathie [D50-D64]   - "" Jambe """,ostéonécrose due à une hémoglobinopathie | jambe,OWL_ANS
