code,field,owl_value,ofs_value,resolved_to
X47.2,label,Intoxication accidentelle par le monoxyde de carbone issu d'autres combustibles domestiques,"intoxication accidentelle par d'autres gaz et émanations et exposition à ces produits | école, autre institution et lieu d'administration publique",OWL_ANS
X47.3,label,Intoxication accidentelle par le monoxyde de carbone issu d'autres sources,intoxication accidentelle par d'autres gaz et émanations et exposition à ces produits | lieu de sport et d'athlétisme,OWL_ANS
X47.4,label,Intoxication accidentelle par le monoxyde de carbone de source non précisée,intoxication accidentelle par d'autres gaz et émanations et exposition à ces produits | rue ou route,OWL_ANS
X47.8,label,Intoxication accidentelle par d'autres gaz et vapeurs,intoxication accidentelle par d'autres gaz et émanations et exposition à ces produits | autres lieux précisés,OWL_ANS
X47.9,label,Intoxication accidentelle par gaz et vapeurs non précisés,"intoxication accidentelle par d'autres gaz et émanations et exposition à ces produits | lieu, sans précision",OWL_ANS
X59.0,label,Exposition à des facteurs non précisés responsables de fracture,"exposition à des facteurs, sans précision | domicile",OWL_ANS
X59.9,label,Exposition à des facteurs non précisés responsables de lésions autres et non précisées,"exposition à des facteurs, sans précision | lieu, sans précision",OWL_ANS
X61,label,"Auto-intoxication par des antiépileptiques, sédatifs, hypnotiques, antiparkinsoniens et psychotropes et exposition à ces produits, non classés ailleurs","auto-intoxication par des anti-épileptiques, sédatifs, hypnotiques, antiparkinsoniens et psychotropes et exposition à ces produits, non classés ailleurs",OWL_ANS
X67,label,Auto-intoxication par le monoxyde de carbone et d'autres gaz et émanations et exposition à ces produits,auto-intoxication par d'autres gaz et émanations et exposition à ces produits,OWL_ANS
X67.0,label,Auto-intoxication  par le monoxyde de carbone issu de gaz d'échappement de moteur,auto-intoxication par d'autres gaz et émanations et exposition à ces produits | domicile,OWL_ANS
X67.1,label,Auto-intoxication  par le monoxyde de carbone issu de gaz domestique,auto-intoxication par d'autres gaz et émanations et exposition à ces produits | établissement collectif,OWL_ANS
X67.2,label,Auto-intoxication par le monoxyde de carbone issu d'autres combustibles domestiques,"auto-intoxication par d'autres gaz et émanations et exposition à ces produits | école, autre institution et lieu d'administration publique",OWL_ANS
X67.3,label,Auto-intoxication par le monoxyde de carbone issu d'autres sources,auto-intoxication par d'autres gaz et émanations et exposition à ces produits | lieu de sport et d'athlétisme,OWL_ANS
X67.4,label,Auto-intoxication par le monoxyde de carbone de source non précisée,auto-intoxication par d'autres gaz et émanations et exposition à ces produits | rue ou route,OWL_ANS
X67.8,label,Auto-intoxication par d'autres gaz et vapeurs,auto-intoxication par d'autres gaz et émanations et exposition à ces produits | autres lieux précisés,OWL_ANS
X67.9,label,Auto-intoxication par gaz et vapeurs non précisés,"auto-intoxication par d'autres gaz et émanations et exposition à ces produits | lieu, sans précision",OWL_ANS
X73,label,"Lésion auto-infligée par décharge de fusil, de carabine et d'arme de plus grande taille","lésion auto-infligée par décharge de fusil, de carabine et d'arme à feu de plus gros calibre",OWL_ANS
X77,label,"Lésion auto-infligée par exposition à la vapeur d'eau, à des gaz et objets brulants","lésion auto-infligée par exposition à la vapeur, à des gaz et à des objets brûlants",OWL_ANS
X82,label,Lésion auto-infligée par collision d'un véhicule à moteur,lésion auto-infligée par accident d'un véhicule à moteur,OWL_ANS
X88,label,Agression par le monoxyde de carbone et d'autres gaz et émanations,agression par des gaz et émanations,OWL_ANS
X88.0,label,Agression  par le monoxyde de carbone issu de gaz d'échappement de moteur,agression par des gaz et émanations | domicile,OWL_ANS
X88.1,label,Agression  par le monoxyde de carbone issu de gaz domestique,agression par des gaz et émanations | établissement collectif,OWL_ANS
X88.2,label,Agression par le monoxyde de carbone issu d'autres combustibles domestiques,"agression par des gaz et émanations | école, autre institution et lieu d'administration publique",OWL_ANS
X88.3,label,Agression par le monoxyde de carbone issu d'autres sources,agression par des gaz et émanations | lieu de sport et d'athlétisme,OWL_ANS
X88.4,label,Agression par le monoxyde de carbone de source non précisée,agression par des gaz et émanations | rue ou route,OWL_ANS
X88.8,label,Agression par d'autres gaz et vapeurs,agression par des gaz et émanations | autres lieux précisés,OWL_ANS
X88.9,label,Agression par gaz et vapeurs non précisés,"agression par des gaz et émanations | lieu, sans précision",OWL_ANS
X94,label,"Agression par fusil, carabine et arme de plus grande taille","agression par fusil, carabine et arme à feu de plus gros calibre",OWL_ANS
X98,label,"Agression par la vapeur d'eau, des gaz et objets brulants","agression par la vapeur, des gaz et des objets brûlants",OWL_ANS
Y03,label,Agression en provoquant une collision de véhicule à moteur,agression en provoquant un accident de véhicule à moteur,OWL_ANS
Y06.0,label,Délaissement et abandon par le conjoint ou le partenaire,par le conjoint ou le partenaire,OWL_ANS
Y06.1,label,Délaissement et abandon par un(e) parent(e),par un(e) parent(e),OWL_ANS
Y06.2,label,Délaissement et abandon par une relation ou un(e) ami(e),par une relation ou un(e) ami(e),OWL_ANS
Y06.8,label,Délaissement et abandon par d'autres personnes précisées,par d'autres personnes précisées,OWL_ANS
Y06.9,label,Délaissement et abandon par une personne non précisée,par une personne non précisée,OWL_ANS
Y07.0,label,Autres mauvais traitements par le conjoint ou le partenaire,par le conjoint ou le partenaire,OWL_ANS
Y07.1,label,Autres mauvais traitements par un(e) parent(e),par un(e) parent(e),OWL_ANS
Y07.2,label,Autres mauvais traitements par une relation ou un(e) ami(e),par une relation ou un(e) ami(e),OWL_ANS
Y07.3,label,Autres mauvais traitements par des autorités officielles,par des autorités officielles,OWL_ANS
Y07.8,label,Autres mauvais traitements par d'autres personnes précisées,par d'autres personnes précisées,OWL_ANS
Y07.9,label,Autres mauvais traitements par une personne non précisée,par une personne non précisée,OWL_ANS
Y11,label,"Intoxication par des antiépileptiques, sédatifs, hypnotiques, antiparkinsoniens et psychotropes et exposition à ces produits, non classés ailleurs, intention non déterminée","intoxication par des anti-épileptiques, sédatifs, hypnotiques, antiparkinsoniens et psychotropes et exposition à ces produits, non classés ailleurs, intention non déterminée",OWL_ANS
Y17,label,"Intoxication par le monoxyde de carbone et d'autres gaz et émanations et exposition à ces produits, intention non déterminée","intoxication par d'autres gaz et émanations et exposition à ces produits, intention non déterminée",OWL_ANS
Y17.0,label,"Intoxication  par le monoxyde de carbone issu de gaz d'échappement de moteur, intention non déterminée","intoxication par d'autres gaz et émanations et exposition à ces produits, intention non déterminée | domicile",OWL_ANS
Y17.1,label,Intoxication  par le monoxyde de carbone issu de gaz domestique,"intoxication par d'autres gaz et émanations et exposition à ces produits, intention non déterminée | établissement collectif",OWL_ANS
Y17.2,label,"Intoxication par le monoxyde de carbone issu d'autres combustibles domestiques, intention non déterminée","intoxication par d'autres gaz et émanations et exposition à ces produits, intention non déterminée | école, autre institution et lieu d'administration publique",OWL_ANS
Y17.3,label,"Intoxication par le monoxyde de carbone issu d'autres sources, intention non déterminée","intoxication par d'autres gaz et émanations et exposition à ces produits, intention non déterminée | lieu de sport et d'athlétisme",OWL_ANS
Y17.4,label,"Intoxication par le monoxyde de carbone de source non précisée, intention non déterminée","intoxication par d'autres gaz et émanations et exposition à ces produits, intention non déterminée | rue ou route",OWL_ANS
Y17.8,label,Intoxication par d'autres gaz et vapeurs,"intoxication par d'autres gaz et émanations et exposition à ces produits, intention non déterminée | autres lieux précisés",OWL_ANS
Y17.9,label,Intoxication par gaz et vapeurs non précisés,"intoxication par d'autres gaz et émanations et exposition à ces produits, intention non déterminée | lieu, sans précision",OWL_ANS
Y23,label,"Décharge de fusil, de carabine et d'arme de plus grande taille, intention non déterminée","décharge de fusil, carabine et arme à feu de plus gros calibre, intention non déterminée",OWL_ANS
Y27,label,"Contact avec de la vapeur d'eau, des gaz et objets brulants, intention non déterminée","contact avec de la vapeur, du gaz et des objets brûlants, intention non déterminée",OWL_ANS
Y32,label,"Collision de véhicule à moteur, intention non déterminée","accident de véhicule à moteur, intention non déterminée",OWL_ANS
Y36.0,label,Faits de guerre impliquant l'explosion d'armes navales,fait de guerre impliquant l'explosion d'armes navales,OWL_ANS
Y36.1,label,Faits de guerre impliquant la destruction d'aéronef,fait de guerre impliquant la destruction d'aéronef,OWL_ANS
Y36.2,label,Faits de guerre impliquant d'autres explosions et éclats,fait de guerre impliquant d'autres explosions et éclats,OWL_ANS
Y36.3,label,"Faits de guerre impliquant des incendies, des conflagrations et des produits brulants","fait de guerre impliquant des incendies, des conflagrations et des produits brûlants",OWL_ANS
Y36.4,label,Faits de guerre impliquant le tir d'armes à feu et autres moyens de type classique,fait de guerre impliquant le tir d'armes à feu et autres moyens de type classique,OWL_ANS
Y36.5,label,Faits de guerre impliquant des armes nucléaires,fait de guerre impliquant des armes nucléaires,OWL_ANS
Y36.6,label,Faits de guerre impliquant des armes biologiques,fait de guerre impliquant des armes biologiques,OWL_ANS
Y36.7,label,Faits de guerre impliquant des armes chimiques et autres moyens non classiques,fait de guerre impliquant des armes chimiques et autres moyens non classiques,OWL_ANS
Y36.8,label,Faits de guerre survenu après la cessation des hostilités,fait de guerre survenu après la cessation des hostilités,OWL_ANS
Y36.9,label,"Faits de guerre, sans précision","fait de guerre, sans précision",OWL_ANS
Y40,label,Effets indésirables des antibiotiques systémiques,antibiotiques systémiques,OWL_ANS
Y40.0,label,Effets indésirables des pénicillines au cours de leur usage thérapeutique,pénicillines,OWL_ANS
Y40.1,label,Effets indésirables des céphalosporines et autres bêtalactamines au cours de leur usage thérapeutique,céphalosporines et autres B-lactamines,OWL_ANS
Y40.2,label,Effets indésirables des antibiotiques du groupe du chloramphénicol au cours de leur usage thérapeutique,groupe du chloramphénicol,OWL_ANS
Y40.3,label,Effets indésirables des macrolides au cours de leur usage thérapeutique,macrolides,OWL_ANS
Y40.4,label,Effets indésirables des tétracyclines au cours de leur usage thérapeutique,tétracyclines,OWL_ANS
Y40.5,label,Effets indésirables des aminosides au cours de leur usage thérapeutique,aminosides,OWL_ANS
Y40.6,label,Effets indésirables des rifamycines au cours de leur usage thérapeutique,rifamycines,OWL_ANS
Y40.7,label,Effets indésirables des antibiotiques antifongiques systémiques au cours de leur usage thérapeutique,antibiotiques antifongiques systémiques,OWL_ANS
Y40.8,label,Effets indésirables d'autres antibiotiques systémiques au cours de leur usage thérapeutique,autres antibiotiques systémiques,OWL_ANS
Y40.9,label,"Effets indésirables d'un antibiotique systémique, sans précision au cours de son usage thérapeutique","antibiotique systémique, sans précision",OWL_ANS
Y41,label,Effets indésirables des autres anti-infectieux et antiparasitaires systémiques,autres anti-infectieux et antiparasitaires systémiques,OWL_ANS
Y41.0,label,Effets indésirables des sulfamides au cours de leur usage thérapeutique,sulfamides,OWL_ANS
Y41.1,label,Effets indésirables des antimycobactériens au cours de leur usage thérapeutique,antimycobactériens,OWL_ANS
Y41.2,label,Effets indésirables des antipaludiques et médicaments agissant sur d'autres protozoaires du sang au cours de leur usage thérapeutique,antipaludiques et médicaments agissant sur d'autres protozoaires du sang,OWL_ANS
Y41.3,label,Effets indésirables d'autres antiprotozoaires au cours de leur usage thérapeutique,autres antiprotozoaires,OWL_ANS
Y41.4,label,Effets indésirables des anthelminthiques au cours de leur usage thérapeutique,anthelminthiques,OWL_ANS
Y41.5,label,Effets indésirables des antiviraux au cours de leur usage thérapeutique,antiviraux,OWL_ANS
Y41.8,label,Effets indésirables d'autres anti-infectieux et antiparasitaires systémiques précisés au cours de leur usage thérapeutique,autres anti-infectieux et antiparasitaires systémiques précisés,OWL_ANS
Y41.9,label,"Effets indésirables d'un anti-infectieux et antiparasitaire systémiques, sans précision au cours de son usage thérapeutique","anti-infectieux et antiparasitaire systémiques, sans précision",OWL_ANS
Y42,label,"Effets indésirables des hormones et leurs substituts synthétiques et antagonistes, non classés ailleurs","hormones et leurs substituts synthétiques et antagonistes, non classés ailleurs",OWL_ANS
Y42.0,label,Effets indésirables des glucocorticoïdes et analogues synthétiques au cours de leur usage thérapeutique,glucocorticoïdes et analogues synthétiques,OWL_ANS
Y42.1,label,Effets indésirables des hormones thyroïdiennes et leurs dérivés au cours de leur usage thérapeutique,hormones thyroïdiennes et leurs dérivés,OWL_ANS
Y42.2,label,Effets indésirables des antithyroïdiens au cours de leur usage thérapeutique,antithyroïdiens,OWL_ANS
Y42.3,label,Effets indésirables de l'insuline et des hypoglycémiants oraux [antidiabétiques] au cours de leur usage thérapeutique,insuline et hypoglycémiants oraux [antidiabétiques],OWL_ANS
Y42.4,label,Effets indésirables des contraceptifs oraux au cours de leur usage thérapeutique,contraceptifs oraux,OWL_ANS
Y42.5,label,Effets indésirables d'autres oestrogènes et progestatifs au cours de leur usage thérapeutique,autres oestrogènes et progestatifs,OWL_ANS
Y42.6,label,"Effets indésirables des antigonadotrophines, anti-oestrogènes, anti-androgènes, non classés ailleurs au cours de leur usage thérapeutique","antigonadotrophines, anti-oestrogènes, anti-androgènes, non classés ailleurs",OWL_ANS
Y42.7,label,Effets indésirables des androgènes et autres anabolisants au cours de leur usage thérapeutique,androgènes et autres anabolisants,OWL_ANS
Y42.8,label,"Effets indésirables des hormones et leurs substituts synthétiques, autres et sans précision au cours de leur usage thérapeutique","hormones et leurs substituts synthétiques, autres et sans précision",OWL_ANS
Y42.9,label,"Effets indésirables des antagonistes hormonaux, autres et sans précision au cours de leur usage thérapeutique","antagonistes hormonaux, autres et sans précision",OWL_ANS
Y43,label,Effets indésirables des substances d'action pharmacologique essentiellement systémique,substances d'action pharmacologique essentiellement systémique,OWL_ANS
Y43.0,label,Effets indésirables des anti-allergiques et anti-émétiques au cours de leur usage thérapeutique,anti-allergiques et anti-émétiques,OWL_ANS
Y43.1,label,Effets indésirables des antimétabolites antitumoraux au cours de leur usage thérapeutique,antimétabolites antitumoraux,OWL_ANS
Y43.2,label,Effets indésirables des produits antitumoraux naturels au cours de leur usage thérapeutique,produits antitumoraux naturels,OWL_ANS
Y43.3,label,Effets indésirables d'autres médicaments antitumoraux au cours de leur usage thérapeutique,autres médicaments antitumoraux,OWL_ANS
Y43.4,label,Effets indésirables des agents immunosuppresseurs au cours de leur usage thérapeutique,agents immunosuppresseurs,OWL_ANS
Y43.5,label,Effets indésirables des acidifiants et alcalinisants au cours de leur usage thérapeutique,acidifiants et alcalinisants,OWL_ANS
Y43.6,label,"Effets indésirables des enzymes, non classés ailleurs au cours de leur usage thérapeutique","enzymes, non classés ailleurs",OWL_ANS
Y43.8,label,"Effets indésirables d'autres substances d'action pharmacologique essentiellement systémique, non classées ailleurs au cours de leur usage thérapeutique","autres substances d'action pharmacologique essentiellement systémique, non classées ailleurs",OWL_ANS
Y43.9,label,"Effets indésirables d'une substance d'action pharmacologique essentiellement systémique, sans précision au cours de son usage thérapeutique","substance d'action pharmacologique essentiellement systémique, sans précision",OWL_ANS
Y44,label,Effets indésirables des substances agissant essentiellement sur les constituants du sang,substances agissant essentiellement sur les constituants du sang,OWL_ANS
Y44.0,label,Effets indésirables des préparations à base de fer et autres préparations prescrites dans les anémies hypochromes au cours de leur usage thérapeutique,préparations à base de fer et autres préparations prescrites dans les anémies hypochromes,OWL_ANS
Y44.1,label,"Effets indésirables de la vitamine B12, de l'acide folique et autres préparations prescrites dans les anémies mégaloblastiques au cours de leur usage thérapeutique","vitamine B12, acide folique et autres préparations prescrites dans les anémies mégaloblastiques",OWL_ANS
Y44.2,label,Effets indésirables des anticoagulants au cours de leur usage thérapeutique,anticoagulants,OWL_ANS
Y44.3,label,"Effets indésirables des antagonistes des anticoagulants, de la vitamine K et autres coagulants au cours de leur usage thérapeutique","antagonistes des anticoagulants, vitamine K et autres coagulants",OWL_ANS
Y44.4,label,Effets indésirables des antithrombotiques [inhibiteurs de l'agrégation plaquettaire] au cours de leur usage thérapeutique,antithrombotiques [inhibiteurs de l'agrégation plaquettaire],OWL_ANS
Y44.5,label,Effets indésirables des thrombolytiques au cours de leur usage thérapeutique,thrombolytiques,OWL_ANS
Y44.6,label,Effets indésirables du sang naturel et produits sanguins au cours de leur usage thérapeutique,sang naturel et produits sanguins,OWL_ANS
Y44.7,label,Effets indésirables des succédanés du plasma au cours de leur usage thérapeutique,succédanés du plasma,OWL_ANS
Y44.9,label,"Effets indésirables des substances agissant essentiellement sur les constituants du sang, autres et sans précision au cours de leur usage thérapeutique","substances agissant essentiellement sur les constituants du sang, autres et sans précision",OWL_ANS
Y45,label,"Effets indésirables des médicaments analgésiques, antipyrétiques et anti-inflammatoires","médicaments analgésiques, antipyrétiques et anti-inflammatoires",OWL_ANS
Y45.0,label,Effets indésirables des opioïdes et analgésiques apparentés au cours de leur usage thérapeutique,opioïdes et analgésiques apparentés,OWL_ANS
Y45.1,label,Effets indésirables des salicylés au cours de leur usage thérapeutique,salicylés,OWL_ANS
Y45.2,label,Effets indésirables des dérivés de l'acide propionique au cours de leur usage thérapeutique,dérivés de l'acide propionique,OWL_ANS
Y45.3,label,Effets indésirables d'autres anti-inflammatoires non stéroïdiens [AINS] au cours de leur usage thérapeutique,autres anti-inflammatoires non stéroïdiens [AINS],OWL_ANS
Y45.4,label,Effets indésirables des antirhumatismaux au cours de leur usage thérapeutique,antirhumatismaux,OWL_ANS
Y45.5,label,Effets indésirables des dérivés du 4-aminophénol au cours de leur usage thérapeutique,dérivés du 4-aminophénol,OWL_ANS
Y45.8,label,"Effets indésirables d'autres médicaments analgésiques, antipyrétiques au cours de leur usage thérapeutique","autres médicaments analgésiques, antipyrétiques et anti-inflammatoires",OWL_ANS
Y45.9,label,"Effets indésirables d'un médicament analgésique, antipyrétique et anti-inflammatoire, sans précision au cours de son usage thérapeutique","médicament analgésique, antipyrétique et anti-inflammatoire, sans précision",OWL_ANS
Y46,label,Effets indésirables des anti-épileptiques et  antiparkinsoniens,anti-épileptiques et antiparkinsoniens,OWL_ANS
Y46.0,label,Effets indésirables des succinimides au cours de leur usage thérapeutique,succinimides,OWL_ANS
Y46.1,label,Effets indésirables des oxazolidine-diones au cours de leur usage thérapeutique,oxazolidine-diones,OWL_ANS
Y46.2,label,Effets indésirables des dérivés de l'hydantoïne au cours de leur usage thérapeutique,dérivés de l'hydantoïne,OWL_ANS
Y46.3,label,Effets indésirables des désoxybarbituriques au cours de leur usage thérapeutique,désoxybarbituriques,OWL_ANS
Y46.4,label,Effets indésirables des iminostilbènes au cours de leur usage thérapeutique,iminostilbènes,OWL_ANS
Y46.5,label,Effets indésirables de l'acide valproïque au cours de son usage thérapeutique,acide valproïque,OWL_ANS
Y46.6,label,"Effets indésirables des anti-épileptiques, autres et sans précision au cours de leur usage thérapeutique","anti-épileptiques, autres et sans précision",OWL_ANS
Y46.7,label,Effets indésirables des  antiparkinsoniens au cours de leur usage thérapeutique,antiparkinsoniens,OWL_ANS
Y46.8,label,Effets indésirables des myorelaxants d'action centrale au cours de leur usage thérapeutique,myorelaxants d'action centrale,OWL_ANS
Y47,label,"Effets indésirables des sédatifs, hypnotiques et tranquillisants","sédatifs, hypnotiques et tranquillisants",OWL_ANS
Y47.0,label,"Effets indésirables des barbituriques, non classés ailleurs au cours de leur usage thérapeutique","barbituriques, non classés ailleurs",OWL_ANS
Y47.1,label,Effets indésirables des benzodiazépines au cours de leur usage thérapeutique,benzodiazépines,OWL_ANS
Y47.2,label,Effets indésirables des dérivés du chloral au cours de leur usage thérapeutique,dérivés du chloral,OWL_ANS
Y47.3,label,Effets indésirables des paraldéhyde au cours de leur usage thérapeutique,paraldéhyde,OWL_ANS
Y47.4,label,Effets indésirables des dérivés du brome au cours de leur usage thérapeutique,dérivés du brome,OWL_ANS
Y47.5,label,"Effets indésirables des sédatifs et hypnotiques en association, non classés ailleurs au cours de leur usage thérapeutique","sédatifs et hypnotiques en association, non classés ailleurs",OWL_ANS
Y47.8,label,"Effets indésirables d'autres sédatifs, hypnotiques et tranquillisants au cours de leur usage thérapeutique","autres sédatifs, hypnotiques et tranquillisants",OWL_ANS
Y47.9,label,"Effets indésirables d'un sédatif, hypnotique et tranquillisant, sans précision au cours de son usage thérapeutique","sédatif, hypnotique et tranquillisant, sans précision",OWL_ANS
Y48,label,Effets indésirables des anesthésiques et gaz thérapeutiques,anesthésiques et gaz thérapeutiques,OWL_ANS
Y48.0,label,Effets indésirables des anesthésiques inhalés au cours de leur usage thérapeutique,anesthésiques inhalés,OWL_ANS
Y48.1,label,Effets indésirables des anesthésiques par voie parentérale au cours de leur usage thérapeutique,anesthésiques par voie parentérale,OWL_ANS
Y48.2,label,"Effets indésirables des anesthésiques généraux, autres et sans précision au cours de leur usage thérapeutique","anesthésiques généraux, autres et sans précision",OWL_ANS
Y48.3,label,Effets indésirables des anesthésiques locaux au cours de leur usage thérapeutique,anesthésiques locaux,OWL_ANS
Y48.4,label,"Effets indésirables des anesthésiques, sans précision au cours de leur usage thérapeutique","anesthésiques, sans précision",OWL_ANS
Y48.5,label,Effets indésirables des gaz thérapeutiques,gaz thérapeutiques,OWL_ANS
Y49,label,"Effets indésirables des médicaments psychotropes, non classés ailleurs","médicaments psychotropes, non classés ailleurs",OWL_ANS
Y49.0,label,Effets indésirables des antidépresseurs tri- et tétracycliques au cours de leur usage thérapeutique,antidépresseurs tri- et tétracycliques,OWL_ANS
Y49.1,label,Effets indésirables des antidépresseurs inhibiteurs de la mono-amine-oxydase au cours de leur usage thérapeutique,antidépresseurs inhibiteurs de la mono-amine-oxydase,OWL_ANS
Y49.2,label,"Effets indésirables des antidépresseurs, autres et sans précision au cours de leur usage thérapeutique","antidépresseurs, autres et sans précision",OWL_ANS
Y49.3,label,Effets indésirables des antipsychotiques phénothiaziniques et neuroleptiques au cours de leur usage thérapeutique,antipsychotiques phénothiaziniques et neuroleptiques,OWL_ANS
Y49.4,label,Effets indésirables des neuroleptiques à base de butyrophénone et de thioxanthène au cours de leur usage thérapeutique,neuroleptiques à base de butyrophénone et de thioxanthène,OWL_ANS
Y49.5,label,Effets indésirables d'autres antipsychotiques et neuroleptiques au cours de leur usage thérapeutique,autres antipsychotiques et neuroleptiques,OWL_ANS
Y49.6,label,Effets indésirables des psychodysleptiques [hallucinogènes] au cours de leur usage thérapeutique,psychodysleptiques [hallucinogènes],OWL_ANS
Y49.7,label,Effets indésirables des psychostimulants pouvant faire l'objet d'un abus au cours de leur usage thérapeutique,psychostimulants pouvant faire l'objet d'un abus,OWL_ANS
Y49.8,label,"Effets indésirables d'autres médicaments psychotropes, non classés ailleurs au cours de leur usage thérapeutique","autres médicaments psychotropes, non classés ailleurs",OWL_ANS
Y49.9,label,"Effets indésirables d'un médicament psychotrope, sans précision au cours de son usage thérapeutique","médicament psychotrope, sans précision",OWL_ANS
Y50,label,"Effets indésirables des stimulants du système nerveux central, non classés ailleurs","stimulants du système nerveux central, non classés ailleurs",OWL_ANS
Y50.0,label,Effets indésirables des analeptiques au cours de leur usage thérapeutique,analeptiques,OWL_ANS
Y50.1,label,Effets indésirables d'un antagoniste des opioïdes au cours de son usage thérapeutique,antagoniste des opioïdes,OWL_ANS
Y50.2,label,"Effets indésirables des méthylxanthines, non classés ailleurs au cours de leur usage thérapeutique","méthylxanthines, non classés ailleurs",OWL_ANS
Y50.8,label,Effets indésirables d'autres stimulants du système nerveux central au cours de leur usage thérapeutique,autres stimulants du système nerveux central,OWL_ANS
Y50.9,label,"Effets indésirables d'un stimulant du système nerveux central, sans précision au cours de son usage thérapeutique","stimulant du système nerveux central, sans précision",OWL_ANS
Y51,label,Effets indésirables des médicaments agissant essentiellement sur le système nerveux autonome,médicaments agissant essentiellement sur le système nerveux autonome,OWL_ANS
Y51.0,label,Effets indésirables des anticholinestérasiques au cours de leur usage thérapeutique,anticholinestérasiques,OWL_ANS
Y51.1,label,Effets indésirables d'autres parasympathomimétiques [cholinergiques] au cours de leur usage thérapeutique,autres parasympathomimétiques [cholinergiques],OWL_ANS
Y51.2,label,"Effets indésirables des ganglioplégiques, non classés ailleurs au cours de leur usage thérapeutique","ganglioplégiques, non classés ailleurs",OWL_ANS
Y51.3,label,"Effets indésirables d'autres parasympatholytiques [anticholinergiques et antimuscariniques] et spasmolytiques, non classés ailleurs au cours de leur usage thérapeutique","autres parasympatholytiques [anticholinergiques et antimuscariniques] et spasmolytiques, non classés ailleurs",OWL_ANS
Y51.4,label,"Effets indésirables des agents principalement alpha-sympathomimétiques, non classés ailleurs au cours de leur usage thérapeutique","agents principalement alpha-sympathomimétiques, non classés ailleurs",OWL_ANS
Y51.5,label,"Effets indésirables des agents principalement bêta-sympathomimétiques, non classés ailleurs au cours de leur usage thérapeutique","agents principalement bêta-sympathomimétiques, non classés ailleurs",OWL_ANS
Y51.6,label,"Effets indésirables des alpha-bloquants, non classés ailleurs au cours de leur usage thérapeutique","alpha-bloquants, non classés ailleurs",OWL_ANS
Y51.7,label,"Effets indésirables des bêta-bloquants, non classés ailleurs au cours de leur usage thérapeutique","bêta-bloquants, non classés ailleurs",OWL_ANS
Y51.8,label,"Effets indésirables des agents bloquants neuronaux adrénergiques et d'action centrale, non classés ailleurs au cours de leur usage thérapeutique","agents bloquants neuronaux adrénergiques et d'action centrale, non classés ailleurs",OWL_ANS
Y51.9,label,"Effets indésirables des médicaments agissant essentiellement sur le système nerveux autonome, autres et sans précision au cours de leur usage thérapeutique","médicaments agissant essentiellement sur le système nerveux autonome, autres et sans précision",OWL_ANS
Y52,label,Effets indésirables des substances agissant essentiellement sur le système cardio-vasculaire,substances agissant essentiellement sur le système cardio-vasculaire,OWL_ANS
Y52.0,label,Effets indésirables des glucosides cardiotoniques et médicaments d'action similaire au cours de leur usage thérapeutique,glucosides cardiotoniques et médicaments d'action similaire,OWL_ANS
Y52.1,label,Effets indésirables des inhibiteurs calciques au cours de leur usage thérapeutique,inhibiteurs calciques,OWL_ANS
Y52.2,label,"Effets indésirables d'autres anti-arythmisants, non classés ailleurs au cours de leur usage thérapeutique","autres antiarythmisants, non classés ailleurs",OWL_ANS
Y52.3,label,"Effets indésirables des vasodilatateurs coronariens, non classés ailleurs au cours de leur usage thérapeutique","vasodilatateurs coronariens, non classés ailleurs",OWL_ANS
Y52.4,label,Effets indésirables des inhibiteurs de l'enzyme de conversion au cours de leur usage thérapeutique,inhibiteurs de l'enzyme de conversion,OWL_ANS
Y52.5,label,"Effets indésirables d'autres antihypertenseurs, non classés ailleurs au cours de leur usage thérapeutique","autres antihypertenseurs, non classés ailleurs",OWL_ANS
Y52.6,label,Effets indésirables des antihyperlipidémiants et anti-artériosclérosants au cours de leur usage thérapeutique,antihyperlipidémiants et antiartériosclérosants,OWL_ANS
Y52.7,label,Effets indésirables des vasodilatateurs périphériques au cours de leur usage thérapeutique,vasodilatateurs périphériques,OWL_ANS
Y52.8,label,"Effets indésirables des substances antivariqueuses, y compris les agents sclérosants au cours de leur usage thérapeutique","substances antivariqueuses, y compris les agents sclérosants",OWL_ANS
Y52.9,label,"Effets indésirables des substances agissant essentiellement sur le système cardio-vasculaire, autres et sans précision au cours de leur usage thérapeutique","substances agissant essentiellement sur le système cardio-vasculaire, autres et sans précision",OWL_ANS
Y53,label,Effets indésirables des substances agissant essentiellement sur le tractus gastro-intestinal,substances agissant essentiellement sur le tractus gastro-intestinal,OWL_ANS
Y53.0,label,Effets indésirables d'un inhibiteur des récepteurs histaminique H2 au cours de son usage thérapeutique,inhibiteur des récepteurs histaminique H2,OWL_ANS
Y53.1,label,Effets indésirables d'autres anti-acides et antisécrétoires gastriques au cours de leur usage thérapeutique,autres antiacides et antisécrétoires gastriques,OWL_ANS
Y53.2,label,Effets indésirables des laxatifs stimulants au cours de leur usage thérapeutique,laxatifs stimulants,OWL_ANS
Y53.3,label,Effets indésirables des laxatifs salins et osmotiques au cours de leur usage thérapeutique,laxatifs salins et osmotiques,OWL_ANS
Y53.4,label,Effets indésirables d'autres laxatifs au cours de leur usage thérapeutique,autres laxatifs,OWL_ANS
Y53.5,label,Effets indésirables des médicaments facilitant la digestion au cours de leur usage thérapeutique,médicaments facilitant la digestion,OWL_ANS
